comparison	disease	domain	left_target	right_target	removed_auxiliaries	n_block	left_reduction_pp	right_reduction_pp	difference_in_reduction_pp	paired_jackknife_se_pp	ci95_low_pp	ci95_high_pp	z	p_two_sided	left_full_panel_scale	right_full_panel_scale	method	fdr_family	q_bh_26	survives_bh_0_05
MDD_EHR_minus_CLIN	MDD	mood_psychotic	MDD_EHR_PGC2025	MDD_CLIN_PGC2025	BD_PGC2021,SCZ_PGC2022	200	3.81164687276494	5.32977281965461	-1.51812594688967	2.25363220716677	-5.93524507293654	2.8989931791572	-0.673635184153776	0.50054327862678	0.9384765625	0.9384765625	Zhao et al. full-panel correction coefficient applied to the pre-correction full-minus-reduced difference; 200-block paired difference-of-differences jackknife	26 prespecified estimable leave-category-out difference-of-differences tests	0.929580374592591	FALSE
MDD_EHR_minus_CLIN	MDD	neurodevelopmental	MDD_EHR_PGC2025	MDD_CLIN_PGC2025	ADHD,ASD	200	10.1885317086482	7.59609391267156	2.59243779597665	3.34588620639879	-3.96549916856499	9.15037476051829	0.774813498145507	0.438449872006761	0.9384765625	0.9384765625	Zhao et al. full-panel correction coefficient applied to the pre-correction full-minus-reduced difference; 200-block paired difference-of-differences jackknife	26 prespecified estimable leave-category-out difference-of-differences tests	0.876899744013521	FALSE
MDD_EHR_minus_CLIN	MDD	compulsive_eating	MDD_EHR_PGC2025	MDD_CLIN_PGC2025	OCD_2025,AN	200	4.61458177764004	3.58120632082578	1.03337545681426	2.78994878393607	-4.43492415970043	6.50167507332895	0.37039226768757	0.711090234280324	0.9384765625	0.9384765625	Zhao et al. full-panel correction coefficient applied to the pre-correction full-minus-reduced difference; 200-block paired difference-of-differences jackknife	26 prespecified estimable leave-category-out difference-of-differences tests	0.973070846909917	FALSE
MDD_EHR_minus_CLIN	MDD	substance	MDD_EHR_PGC2025	MDD_CLIN_PGC2025	AUD,CUD_2023_EUR	200	2.7768469773686	1.12330263021683	1.65354434715178	1.51240457631082	-1.31076862241744	4.61785731672099	1.09332143862275	0.274252693225468	0.9384765625	0.9384765625	Zhao et al. full-panel correction coefficient applied to the pre-correction full-minus-reduced difference; 200-block paired difference-of-differences jackknife	26 prespecified estimable leave-category-out difference-of-differences tests	0.867114947099785	FALSE
MDD_FINNGEN_minus_CLIN	MDD	mood_psychotic	MDD_FINNGEN_R13	MDD_CLIN_PGC2025	BD_PGC2021,SCZ_PGC2022	200	6.3132407923531	5.32977281965461	0.983467972698494	2.5122748966465	-3.94059082472865	5.90752677012564	0.391465111565327	0.695453472163957	0.9384765625	0.9384765625	Zhao et al. full-panel correction coefficient applied to the pre-correction full-minus-reduced difference; 200-block paired difference-of-differences jackknife	26 prespecified estimable leave-category-out difference-of-differences tests	0.973070846909917	FALSE
MDD_FINNGEN_minus_CLIN	MDD	neurodevelopmental	MDD_FINNGEN_R13	MDD_CLIN_PGC2025	ADHD,ASD	200	5.98507792349456	7.59609391267156	-1.61101598917699	3.38737768486779	-8.25027625151786	5.02824427316387	-0.47559384841371	0.634363758782009	0.9384765625	0.9384765625	Zhao et al. full-panel correction coefficient applied to the pre-correction full-minus-reduced difference; 200-block paired difference-of-differences jackknife	26 prespecified estimable leave-category-out difference-of-differences tests	0.973070846909917	FALSE
MDD_FINNGEN_minus_CLIN	MDD	compulsive_eating	MDD_FINNGEN_R13	MDD_CLIN_PGC2025	OCD_2025,AN	200	3.59985231835859	3.58120632082578	0.0186459975328103	2.95054027814407	-5.76441294762956	5.80170494269518	0.00631951974047916	0.994957786328656	0.9384765625	0.9384765625	Zhao et al. full-panel correction coefficient applied to the pre-correction full-minus-reduced difference; 200-block paired difference-of-differences jackknife	26 prespecified estimable leave-category-out difference-of-differences tests	0.994957786328656	FALSE
MDD_FINNGEN_minus_CLIN	MDD	substance	MDD_FINNGEN_R13	MDD_CLIN_PGC2025	AUD,CUD_2023_EUR	200	5.35270013062769	1.12330263021683	4.22939750041086	2.32280672993237	-0.32330369025659	8.78209869107832	1.82081334874297	0.068635234464495	0.9384765625	0.9384765625	Zhao et al. full-panel correction coefficient applied to the pre-correction full-minus-reduced difference; 200-block paired difference-of-differences jackknife	26 prespecified estimable leave-category-out difference-of-differences tests	0.386495549454705	FALSE
MDD_QUEST_minus_CLIN	MDD	mood_psychotic	MDD_QUEST_PGC2025	MDD_CLIN_PGC2025	BD_PGC2021,SCZ_PGC2022	200	5.00842687135341	5.32977281965461	-0.321345948301197	2.57525889400341	-5.36885338054788	4.72616148394548	-0.124781997277813	0.900696140076557	0.9384765625	0.9384765625	Zhao et al. full-panel correction coefficient applied to the pre-correction full-minus-reduced difference; 200-block paired difference-of-differences jackknife	26 prespecified estimable leave-category-out difference-of-differences tests	0.994957786328656	FALSE
MDD_QUEST_minus_CLIN	MDD	neurodevelopmental	MDD_QUEST_PGC2025	MDD_CLIN_PGC2025	ADHD,ASD	200	7.31421488860005	7.59609391267156	-0.281879024071502	3.54326704906235	-7.22668244023371	6.66292439209071	-0.0795534234841529	0.936592440421648	0.9384765625	0.9384765625	Zhao et al. full-panel correction coefficient applied to the pre-correction full-minus-reduced difference; 200-block paired difference-of-differences jackknife	26 prespecified estimable leave-category-out difference-of-differences tests	0.994957786328656	FALSE
