auxiliary	SCZ_PGC_rg	SCZ_FinnGen_rg	delta_PGC_minus_FinnGen	paired_jackknife_se	paired_z	paired_p_two_sided
MDD_CLIN_PGC2025	0.405927957115284	0.254187769095009	0.151740188020275	0.0779393349965339	1.94690124090773	0.0515465758561704
BD_PGC2021	0.67611143650925	0.524356260701186	0.151755175808065	0.0513411545600326	2.95581930536096	0.00311839725361343
PTSD	0.371885567001856	0.155779310289315	0.21610625671254	0.0512835523501324	4.21394866012987	2.50944351493376e-05
ANX	0.416892414759663	0.216491467670409	0.200400947089254	0.0448316176274783	4.47008066392911	7.81901025158227e-06
ADHD	0.196801714427714	-0.0165982799320935	0.213399994359808	0.05060631171486	4.21686519187972	2.47721964650834e-05
ASD	0.252035771615213	0.18697689433161	0.0650588772836032	0.0708782696378949	0.917895959029165	0.358673337443695
OCD_2025	0.393778064763725	0.267676072027582	0.126101992736143	0.0649201193070106	1.9424177601985	0.0520865469771362
AN	0.230660072755734	0.156019900592808	0.0746401721629262	0.0616339442140958	1.2110237810459	0.22588629060001
AUD	0.355520443712622	0.183667306178146	0.171853137534476	0.0592104087095985	2.90241430991199	0.0037029844984241
CUD_2023_EUR	0.372816070699899	0.138454224194562	0.234361846505337	0.0555440282646361	4.21938872327974	2.44965592905879e-05
