pair	chr	valid_blocks
P2_PGC_SCZ__ADHD	1	132
P2_PGC_SCZ__ADHD	2	143
P2_PGC_SCZ__ADHD	3	122
P2_PGC_SCZ__ADHD	4	122
P2_PGC_SCZ__ADHD	5	110
P2_PGC_SCZ__ADHD	6	112
P2_PGC_SCZ__ADHD	7	98
P2_PGC_SCZ__ADHD	8	93
P2_PGC_SCZ__ADHD	9	74
P2_PGC_SCZ__ADHD	10	85
P2_PGC_SCZ__ADHD	11	84
P2_PGC_SCZ__ADHD	12	82
P2_PGC_SCZ__ADHD	13	62
P2_PGC_SCZ__ADHD	14	56
P2_PGC_SCZ__ADHD	15	49
P2_PGC_SCZ__ADHD	16	54
P2_PGC_SCZ__ADHD	17	47
P2_PGC_SCZ__ADHD	18	48
P2_PGC_SCZ__ADHD	19	39
P2_PGC_SCZ__ADHD	20	38
P2_PGC_SCZ__ADHD	21	24
P2_PGC_SCZ__ADHD	22	24
P3_FINNGEN_SCZ__ADHD	1	132
P3_FINNGEN_SCZ__ADHD	2	143
P3_FINNGEN_SCZ__ADHD	3	122
P3_FINNGEN_SCZ__ADHD	4	122
P3_FINNGEN_SCZ__ADHD	5	110
P3_FINNGEN_SCZ__ADHD	6	112
P3_FINNGEN_SCZ__ADHD	7	98
P3_FINNGEN_SCZ__ADHD	8	94
P3_FINNGEN_SCZ__ADHD	9	74
P3_FINNGEN_SCZ__ADHD	10	85
P3_FINNGEN_SCZ__ADHD	11	84
P3_FINNGEN_SCZ__ADHD	12	82
P3_FINNGEN_SCZ__ADHD	13	62
P3_FINNGEN_SCZ__ADHD	14	56
P3_FINNGEN_SCZ__ADHD	15	49
P3_FINNGEN_SCZ__ADHD	16	54
P3_FINNGEN_SCZ__ADHD	17	47
P3_FINNGEN_SCZ__ADHD	18	48
P3_FINNGEN_SCZ__ADHD	19	39
P3_FINNGEN_SCZ__ADHD	20	38
P3_FINNGEN_SCZ__ADHD	21	24
P3_FINNGEN_SCZ__ADHD	22	24
P4_PGC_SCZ__ASD	1	130
P4_PGC_SCZ__ASD	2	142
P4_PGC_SCZ__ASD	3	122
P4_PGC_SCZ__ASD	4	122
P4_PGC_SCZ__ASD	5	109
P4_PGC_SCZ__ASD	6	102
P4_PGC_SCZ__ASD	7	95
P4_PGC_SCZ__ASD	8	92
P4_PGC_SCZ__ASD	9	70
P4_PGC_SCZ__ASD	10	82
P4_PGC_SCZ__ASD	11	81
P4_PGC_SCZ__ASD	12	81
P4_PGC_SCZ__ASD	13	62
P4_PGC_SCZ__ASD	14	54
P4_PGC_SCZ__ASD	15	49
P4_PGC_SCZ__ASD	16	53
P4_PGC_SCZ__ASD	17	47
P4_PGC_SCZ__ASD	18	48
P4_PGC_SCZ__ASD	19	38
P4_PGC_SCZ__ASD	20	38
P4_PGC_SCZ__ASD	21	24
P4_PGC_SCZ__ASD	22	24
P5_FINNGEN_SCZ__ASD	1	130
P5_FINNGEN_SCZ__ASD	2	142
P5_FINNGEN_SCZ__ASD	3	122
P5_FINNGEN_SCZ__ASD	4	122
P5_FINNGEN_SCZ__ASD	5	109
P5_FINNGEN_SCZ__ASD	6	102
P5_FINNGEN_SCZ__ASD	7	95
P5_FINNGEN_SCZ__ASD	8	92
P5_FINNGEN_SCZ__ASD	9	70
P5_FINNGEN_SCZ__ASD	10	82
P5_FINNGEN_SCZ__ASD	11	81
P5_FINNGEN_SCZ__ASD	12	81
P5_FINNGEN_SCZ__ASD	13	62
P5_FINNGEN_SCZ__ASD	14	54
P5_FINNGEN_SCZ__ASD	15	49
P5_FINNGEN_SCZ__ASD	16	53
P5_FINNGEN_SCZ__ASD	17	47
P5_FINNGEN_SCZ__ASD	18	48
P5_FINNGEN_SCZ__ASD	19	38
P5_FINNGEN_SCZ__ASD	20	38
P5_FINNGEN_SCZ__ASD	21	24
P5_FINNGEN_SCZ__ASD	22	24
P6_PGC_SCZ__OCD	1	131
P6_PGC_SCZ__OCD	2	142
P6_PGC_SCZ__OCD	3	122
P6_PGC_SCZ__OCD	4	121
P6_PGC_SCZ__OCD	5	109
P6_PGC_SCZ__OCD	6	102
P6_PGC_SCZ__OCD	7	95
P6_PGC_SCZ__OCD	8	92
P6_PGC_SCZ__OCD	9	70
P6_PGC_SCZ__OCD	10	83
P6_PGC_SCZ__OCD	11	82
P6_PGC_SCZ__OCD	12	81
P6_PGC_SCZ__OCD	13	62
P6_PGC_SCZ__OCD	14	54
P6_PGC_SCZ__OCD	15	49
P6_PGC_SCZ__OCD	16	53
P6_PGC_SCZ__OCD	17	47
P6_PGC_SCZ__OCD	18	48
P6_PGC_SCZ__OCD	19	38
P6_PGC_SCZ__OCD	20	38
P6_PGC_SCZ__OCD	21	24
P6_PGC_SCZ__OCD	22	24
P7_FINNGEN_SCZ__OCD	1	131
P7_FINNGEN_SCZ__OCD	2	142
P7_FINNGEN_SCZ__OCD	3	122
P7_FINNGEN_SCZ__OCD	4	121
P7_FINNGEN_SCZ__OCD	5	109
P7_FINNGEN_SCZ__OCD	6	102
P7_FINNGEN_SCZ__OCD	7	95
P7_FINNGEN_SCZ__OCD	8	92
