pattern	blocks
P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD	1642
P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD	26
P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD	18
P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD	5
none	4
P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD	2
P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD	2
P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD	1
P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD	1
P2_PGC_SCZ__ADHD+P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD	1
P3_FINNGEN_SCZ__ADHD+P4_PGC_SCZ__ASD+P5_FINNGEN_SCZ__ASD+P6_PGC_SCZ__OCD+P7_FINNGEN_SCZ__OCD+P8_PGC_SCZ__AN+P9_FINNGEN_SCZ__AN+P10_PGC_SCZ__AUD+P11_FINNGEN_SCZ__AUD+P12_PGC_SCZ__CUD+P13_FINNGEN_SCZ__CUD	1
