pair	K_valid	m_min	m_median	m_max	rho_finite	rho_nonfinite	var_finite	var_nonfinite	p_finite	p_nonfinite	corr_finite	corr_nonfinite	var_le_zero	overlap_snps
P2_PGC_SCZ__ADHD	1698	157	2489.5	7799	1698	0	1698	0	1698	0	1277	421	0	4336256
P3_FINNGEN_SCZ__ADHD	1699	152	2456.0	7677	1699	0	1699	0	1699	0	813	886	0	4271437
P4_PGC_SCZ__ASD	1665	130	564.0	1669	1665	0	1665	0	1665	0	1009	656	0	965546
P5_FINNGEN_SCZ__ASD	1665	130	561.0	1661	1665	0	1665	0	1665	0	644	1021	0	960102
P6_PGC_SCZ__OCD	1667	132	605.0	1710	1667	0	1667	0	1667	0	1111	556	0	1039811
P7_FINNGEN_SCZ__OCD	1667	130	600.0	1702	1667	0	1667	0	1667	0	709	958	0	1033967
P8_PGC_SCZ__AN	1645	140	507.0	1557	1645	0	1645	0	1645	0	1100	545	0	866054
P9_FINNGEN_SCZ__AN	1645	139	505.0	1551	1645	0	1645	0	1645	0	712	933	0	861436
P10_PGC_SCZ__AUD	1670	140	611.0	1722	1670	0	1670	0	1670	0	1308	362	0	1056794
P11_FINNGEN_SCZ__AUD	1670	138	608.5	1715	1670	0	1670	0	1670	0	830	840	0	1052114
P12_PGC_SCZ__CUD	1673	134	615.0	1725	1673	0	1673	0	1673	0	1187	486	0	1066347
P13_FINNGEN_SCZ__CUD	1673	132	612.0	1717	1673	0	1673	0	1673	0	765	908	0	1059867
