input_id	class	source_identifier	source_url	download_url	expected_local_path	archive_status	checksum	checksum_type	notes
MDD_CLIN_PGC2025	target	PGC MDD2025; Figshare 27061255	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	https://ndownloader.figshare.com/files/51487013	data/input/ldsc/MDD_CLIN_PGC2025	available_public	NA	NA	Source file identifier is recorded in Supplementary Table 1.
MDD_EHR_PGC2025	target	PGC MDD2025; Figshare 27061255	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	https://ndownloader.figshare.com/files/51487016	data/input/ldsc/MDD_EHR_PGC2025	available_public	NA	NA	Source file identifier is recorded in Supplementary Table 1.
MDD_QUEST_PGC2025	target	PGC MDD2025; Figshare 27061255	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	https://ndownloader.figshare.com/files/51487025	data/input/ldsc/MDD_QUEST_PGC2025	available_public	NA	NA	Source file identifier is recorded in Supplementary Table 1.
MDD_FINNGEN_R13	target	FinnGen R13 F5_DEPRESSIO	https://r13.risteys.finngen.fi/endpoints/F5_DEPRESSIO	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_F5_DEPRESSIO.gz	data/input/ldsc/MDD_FINNGEN_R13	available_public	NA	NA	FinnGen release endpoint.
BD_CLIN_PGC4	target	PGC BIP4 2024; Figshare 27216117	https://figshare.com/articles/dataset/bip2024/27216117	https://ndownloader.figshare.com/files/52065002	data/input/ldsc/BD_CLIN_PGC4	available_public	NA	NA	Source file identifier is recorded in Supplementary Table 1.
BD_FINNGEN_R13	target	FinnGen R13 F5_BIPO	https://r13.risteys.finngen.fi/endpoints/F5_BIPO	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_F5_BIPO.gz	data/input/ldsc/BD_FINNGEN_R13	available_public	NA	NA	FinnGen release endpoint.
SCZ_PGC2022	target	PGC3 schizophrenia wave 3; Figshare 19426775 version 7	https://figshare.com/articles/dataset/scz2022/19426775/7	https://ndownloader.figshare.com/files/34517828	data/input/ldsc/SCZ_PGC2022	available_public	6ebe2376f5cda972d37efa0f214c4df0	MD5	Source checksum recorded in Supplementary Table 1.
SCZ_FINNGEN_R13	target	FinnGen R13 F5_SCHZPHR	https://r13.risteys.finngen.fi/endpoints/F5_SCHZPHR	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_F5_SCHZPHR.gz	data/input/ldsc/SCZ_FINNGEN_R13	available_public	NA	NA	FinnGen release endpoint.
SCZ_FINNGEN_R13_EXMORE	target	FinnGen R13 KRA_PSY_SCHIZODEL_EXMORE	https://r13.risteys.finngen.fi/endpoints/KRA_PSY_SCHIZODEL_EXMORE	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_KRA_PSY_SCHIZODEL_EXMORE.gz	data/input/ldsc/SCZ_FINNGEN_R13_EXMORE	available_public	NA	NA	Broad SCZ representation sensitivity.
AD_GCST90704646_MAIN	target	GWAS Catalog GCST90704646	https://www.nature.com/articles/s41588-026-02583-1	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90704001-GCST90705000/GCST90704646/GCST90704646.tsv.gz	data/input/ldsc/AD_GCST90704646_MAIN	available_public	NA	NA	GWAS Catalog accession.
