comparison	sample_rep	seed	left_corrected_weight	right_corrected_weight	delta_fraction	delta_pp
MDD_EHR_minus_QUEST	1000	123	0.96875	0.96875	0.171140672209069	17.1140672209069
MDD_FINNGEN_minus_QUEST	1000	123	0.96875	0.96875	0.121679562288944	12.1679562288944
SCZ_FINNGEN_minus_PGC	1000	123	0.8125	0.96875	-0.272576788131908	-27.2576788131908
MDD_EHR_minus_QUEST	10000	123	0.96875	0.96875	0.171140672209069	17.1140672209069
MDD_FINNGEN_minus_QUEST	10000	123	0.96875	0.96875	0.121679562288944	12.1679562288944
SCZ_FINNGEN_minus_PGC	10000	123	0.8125	0.96875	-0.272576788131908	-27.2576788131908
MDD_EHR_minus_QUEST	1000	20260831	0.96875	0.96875	0.171140672209069	17.1140672209069
MDD_FINNGEN_minus_QUEST	1000	20260831	0.96875	0.96875	0.121679562288944	12.1679562288944
SCZ_FINNGEN_minus_PGC	1000	20260831	0.8125	0.96875	-0.272576788131908	-27.2576788131908
MDD_EHR_minus_QUEST	10000	20260831	0.96875	0.96875	0.171140672209069	17.1140672209069
MDD_FINNGEN_minus_QUEST	10000	20260831	0.96875	0.96875	0.121679562288944	12.1679562288944
SCZ_FINNGEN_minus_PGC	10000	20260831	0.8125	0.96875	-0.272576788131908	-27.2576788131908
MDD_EHR_minus_QUEST	1000	8675309	0.96875	0.96875	0.171140672209069	17.1140672209069
MDD_FINNGEN_minus_QUEST	1000	8675309	0.96875	0.96875	0.121679562288944	12.1679562288944
SCZ_FINNGEN_minus_PGC	1000	8675309	0.8125	0.96875	-0.272576788131908	-27.2576788131908
MDD_EHR_minus_QUEST	10000	8675309	0.96875	0.96875	0.171140672209069	17.1140672209069
MDD_FINNGEN_minus_QUEST	10000	8675309	0.96875	0.96875	0.121679562288944	12.1679562288944
SCZ_FINNGEN_minus_PGC	10000	8675309	0.8125	0.96875	-0.272576788131908	-27.2576788131908
