panel	comparison	full_delta_pp	delete_min_pp	delete_max_pp	max_abs_delete_shift_pp	max_shift_block	sign_reversal_blocks
10-trait disease-specific	narrow FinnGen minus PGC SCZ	-27.2576788131908	-28.1569853873372	-26.1524346740392	1.10524413915159	65	0
8-trait disease-specific	MDD EHR minus questionnaire	17.1140672209069	16.1795676477043	17.9598208274074	0.934499573202663	191	0
8-trait disease-specific	MDD FinnGen minus questionnaire	12.1679562288944	11.3573246709912	13.1060842465114	0.938128017617057	174	0
9-trait disease-specific	BD FinnGen minus clinical	12.0713665582751	10.215141072683	13.541431241639	1.85622548559209	86	0
common-six	narrow FinnGen minus PGC SCZ	-15.1907366498667	-16.2311718655853	-14.0582293463514	1.13250730351528	182	0
common-six	MDD EHR minus questionnaire	18.3108472194954	17.2333971919094	19.1876045407788	1.07745002758602	191	0
common-six	MDD FinnGen minus questionnaire	10.8631423078947	10.1326447738428	11.696457876499	0.833315568604343	174	0
common-six	BD FinnGen minus clinical	35.8217123512104	34.2071624730739	37.7168678503813	1.89515549917089	121	0
10-trait broad-SCZ sensitivity	broad FinnGen minus PGC SCZ	3.45753558797114	2.36992854605108	5.18372758509612	1.72619199712498	66	0
10-trait broad-SCZ sensitivity	broad minus narrow FinnGen SCZ	30.7152144011619	29.2471873726103	31.8324138472864	1.46802702855159	32	0
