target	disease	definition_class	definition_label	source	source_url	download_url	ancestry	cases	controls	N_eff	genome_build	cohort_scope	overlap_group	notes	source_reported_NEFF	source_NEFF_convention	LDSC_effective_N_used	aggregate_case_control_N_eff	aggregate_N_eff_used
MDD_CLIN_PGC2025	MDD	S	clinical/interview	PGC MDD2025	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	https://ndownloader.figshare.com/files/51487013	EUR	27487	52648	per-SNP NEFF in source	GRCh37	PGC clinical/interview meta-analysis	PGC_MDD2025_definitions	Counts are sums of cohort metadata; the analysis used source variant-level NEFF.					
MDD_EHR_PGC2025	MDD	R	EHR/register	PGC MDD2025	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	https://ndownloader.figshare.com/files/51487016	EUR	311831	1180439	per-SNP NEFF in source	GRCh37	PGC electronic-health-record/register meta-analysis	PGC_MDD2025_definitions	Counts are sums of cohort metadata; the analysis used source variant-level NEFF.					
MDD_QUEST_PGC2025	MDD	M	questionnaire/symptom	PGC MDD2025	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	https://ndownloader.figshare.com/files/51487025	EUR	70887	339597	per-SNP NEFF in source	GRCh37	PGC questionnaire symptom meta-analysis	PGC_MDD2025_definitions	Counts are sums of cohort metadata; the analysis used source variant-level NEFF.					
MDD_FINNGEN_R13	MDD	R	registry ICD endpoint	FinnGen R13 F5_DEPRESSIO	https://r13.risteys.finngen.fi/endpoints/F5_DEPRESSIO	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_F5_DEPRESSIO.gz	Finnish European	61203	432672	4/(1/61203+1/432672)	GRCh38	FinnGen hospital-discharge/cause-of-death ICD endpoint	FinnGen_R13	F5_DEPRESSIO includes ICD-10 F32/F33 and ICD-9 2961|2968|3004, with F5_DEPRESSION_PSYCHOTIC included.					
BD_CLIN_PGC4	BD	S	clinical/interview	PGC BIP4 2024	https://figshare.com/articles/dataset/bip2024/27216117	https://ndownloader.figshare.com/files/52065002	EUR	per-SNP Nca	per-SNP Nco	2*Neff_half per SNP	GRCh37	PGC-BIP4 EUR clinical ascertainment summary statistics	PGC_BIP4_definitions	Dedicated clinical EUR file; Ricopili OR converted to log(OR), LDSC input uses 2*Neff_half.					
BD_FINNGEN_R13	BD	R	registry ICD endpoint	FinnGen R13 F5_BIPO	https://r13.risteys.finngen.fi/endpoints/F5_BIPO	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_F5_BIPO.gz	Finnish European	9221	432672	4/(1/9221+1/432672)	GRCh38	FinnGen bipolar affective disorder registry endpoint	FinnGen_R13	The analysis used the F5_BIPO endpoint and case-control counts recorded for the R13 release.					
SCZ_PGC2022	SCZ	S	clinical case-control	PGC3 schizophrenia wave 3	https://figshare.com/articles/dataset/scz2022/19426775/7	https://ndownloader.figshare.com/files/34517828	EUR	53386	77258	2 × source NEFF; median per-variant N_eff = 117498.26	GRCh37	PGC3 European autosomal wave 3 summary statistics	PGC_SCZ2022	Figshare version 7, file PGC3_SCZ_wave3.european.autosome.public.v3.vcf.tsv.gz (file ID 34517828; source MD5 6ebe2376f5cda972d37efa0f214c4df0). The source supplied variant-level NEFF values. LDSC used 2 × NEFF because the source median and cohort metadata were consistent with a half-effective-N scale. The aggregate case-control reconstruction was excluded because it discards cohort- and variant-level information.	58749.13	consistent with half-effective-N	117498.26	126281.98	No
SCZ_FINNGEN_R13	SCZ	R	registry ICD endpoint	FinnGen R13 F5_SCHZPHR	https://r13.risteys.finngen.fi/endpoints/F5_SCHZPHR	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_F5_SCHZPHR.gz	Finnish European	7312	484297	4/(1/7312+1/484297)	GRCh38	FinnGen schizophrenia registry endpoint	FinnGen_R13	The analysis used the F5_SCHZPHR endpoint, defined by ICD-10 F20 with the F5_SCHIZO control exclusion, and case-control counts recorded for the R13 release.					
SCZ_FINNGEN_R13_EXMORE	SCZ	R	broad schizophrenia-spectrum registry endpoint; ICD-10 F20-F29	FinnGen R13 KRA_PSY_SCHIZODEL_EXMORE	https://r13.risteys.finngen.fi/endpoints/KRA_PSY_SCHIZODEL_EXMORE	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_KRA_PSY_SCHIZODEL_EXMORE.gz	Finnish European	15813	355296	60556.824523253286	GRCh38	FinnGen schizophrenia, schizotypal and delusional-disorder registry endpoint	FinnGen_R13_SCZ_endpoints	FinnGen defines cases from hospital-discharge and cause-of-death ICD-10 F20-F29 codes and excludes controls assigned to KRA_PSY_ANYMENTAL. The endpoint was analysed as an operational-definition sensitivity.					
AD_GCST90704646_MAIN	AD	R	broad proxy/biobank-inclusive	Consensus AD/ADRD 2026; GWAS Catalog GCST90704646	https://www.nature.com/articles/s41588-026-02583-1	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90704001-GCST90705000/GCST90704646/GCST90704646.tsv.gz	European	NA	NA	per-variant Neff_total	GRCh38	All studies; includes proxy samples and large biobanks	NA	Source audit, HM3/no-MHC standardization, focal h2 and definition-pair rg completed.					
AD_GCST90704647_NOPROXY	AD	R	diagnosed/biobank; proxy excluded	Consensus AD/ADRD 2026; GWAS Catalog GCST90704647	https://www.nature.com/articles/s41588-026-02583-1	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90704001-GCST90705000/GCST90704647/GCST90704647.tsv.gz	European	NA	NA	per-variant Neff_total	GRCh38	Proxy samples excluded; large biobanks retained	NA	Source audit, HM3/no-MHC standardization, focal h2 and definition-pair rg completed.					
AD_GCST90704648_NOBIOBANK	AD	S	clinically diagnosed; large biobanks excluded	Consensus AD/ADRD 2026; GWAS Catalog GCST90704648	https://www.nature.com/articles/s41588-026-02583-1	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90704001-GCST90705000/GCST90704648/GCST90704648.tsv.gz	European	NA	NA	per-variant Neff_total	GRCh38	Large biobanks excluded	NA	Source audit, HM3/no-MHC standardization, focal h2 and definition-pair rg completed.					
