comparison_type	section	disease	left_trait	right_trait	rg	rg_se	left_h2	left_h2_se	right_h2	right_h2_se	left_source_url	right_source_identifier	right_source_url	intercept_gencov	intercept_gencov_se	intercept_left_h2	intercept_left_h2_se	intercept_right_h2	intercept_right_h2_se	intercept_constrained	overlap_status	archive_status	notes	ldsc_version	intercept_command_mode	log_file	run_status
target_auxiliary	psychiatric_target_auxiliary	NA	BD_CLIN_PGC4	ADHD	0.1516	0.0321	0.3502	0.0168	0.164	0.0073	https://figshare.com/articles/dataset/bip2024/27216117	PGC ADHD 2023 European release; Figshare file 40036684	NA	0.0291	0.0073	1.0218	0.0101	1.027	0.0102	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	BD_CLIN_PGC4__ADHD.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	BD_CLIN_PGC4	AN	0.1833	0.0354	0.3502	0.0168	0.2494	0.0166	https://figshare.com/articles/dataset/bip2024/27216117	Watson et al. 2019 anorexia nervosa European summary statistics	NA	0.0586	0.0076	1.0384	0.0123	1.0228	0.0109	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	BD_CLIN_PGC4__AN.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	BD_CLIN_PGC4	ANX	0.3737	0.0282	0.3502	0.0168	0.0776	0.0028	https://figshare.com/articles/dataset/bip2024/27216117	PGC anxiety meta-analysis excluding UTAH; Figshare article 31389910, file 62089324; doi:10.6084/m9.figshare.31389910.v1	NA	0.017	0.0077	1.0217	0.0098	1.0427	0.011	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	BD_CLIN_PGC4__ANX.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	BD_CLIN_PGC4	ASD	0.1581	0.0499	0.3502	0.0168	0.2035	0.0178	https://figshare.com/articles/dataset/bip2024/27216117	Grove et al. 2019 ASD European summary statistics	NA	0.0139	0.0079	1.0381	0.0119	1.004	0.0103	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	BD_CLIN_PGC4__ASD.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	BD_CLIN_PGC4	AUD	0.2927	0.025	0.3502	0.0168	0.085	0.0035	https://figshare.com/articles/dataset/bip2024/27216117	Nature Medicine 2023 European AUD meta-analysis; AUD_EUR_Aug2023.txt.gz	NA	0.0221	0.0055	1.0219	0.0099	1.0419	0.0073	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	BD_CLIN_PGC4__AUD.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	BD_CLIN_PGC4	CUD_2023_EUR	0.2693	0.031	0.3502	0.0168	0.0874	0.0045	https://figshare.com/articles/dataset/bip2024/27216117	2023 European CUD meta-analysis	NA	0.0062	0.0061	1.021	0.0098	0.9952	0.0093	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	BD_CLIN_PGC4__CUD_2023_EUR.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	BD_CLIN_PGC4	MDD_CLIN_PGC2025	0.4248	0.0521	0.3502	0.0168	0.095	0.0096	https://figshare.com/articles/dataset/bip2024/27216117	PGC MDD2025 clinical/interview European summary statistics	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	0.1364	0.0071	1.0257	0.0102	1.0125	0.0075	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	BD_CLIN_PGC4__MDD_CLIN_PGC2025.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	BD_CLIN_PGC4	OCD_2025	0.3552	0.0357	0.3502	0.0168	0.3164	0.0203	https://figshare.com/articles/dataset/bip2024/27216117	2025 OCD GWAS, non-23andMe leave-UKB-out file	NA	0.033	0.0064	1.0238	0.0103	1.0226	0.0079	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	BD_CLIN_PGC4__OCD_2025.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	BD_CLIN_PGC4	PTSD	0.3721	0.0279	0.3502	0.0168	0.0543	0.0023	https://figshare.com/articles/dataset/bip2024/27216117	PGC PTSD Freeze 3 European case-control; Figshare article 26349322, file 52065146; doi:10.6084/m9.figshare.26349322.v3	NA	0.0134	0.0074	1.0214	0.0102	1.0324	0.0105	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	BD_CLIN_PGC4__PTSD.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	BD_CLIN_PGC4	SCZ_PGC2022	0.6808	0.0184	0.3502	0.0168	0.3876	0.0136	https://figshare.com/articles/dataset/bip2024/27216117	PGC schizophrenia wave 3 European summary statistics	https://figshare.com/articles/dataset/scz2022/19426775/7	0.2079	0.0088	1.0213	0.0098	1.081	0.0163	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	BD_CLIN_PGC4__SCZ_PGC2022.log	log_parsed
