model	source	predictor	full_R2	shapley_phi	shapley_share_of_R2	sum_phi_minus_R2
primary_six	PGC	BD_PGC2021	0.497488038103383	0.312038323312817	0.627227791249871	0
primary_six	PGC	MDD_CLIN_PGC2025	0.497488038103383	0.0452289454232857	0.0909146390649229	0
primary_six	PGC	ADHD	0.497488038103383	0.00843714258969546	0.016959488356466	0
primary_six	PGC	OCD_2025	0.497488038103383	0.0553917555740681	0.111342889339094	0
primary_six	PGC	PTSD	0.497488038103383	0.0332521063218953	0.0668400117692581	0
primary_six	PGC	AUD	0.497488038103383	0.0431397648816218	0.0867151802203873	0
primary_six	narrow	BD_PGC2021	0.317344929672017	0.21947233253377	0.691589220475648	0
primary_six	narrow	MDD_CLIN_PGC2025	0.317344929672017	0.0258396715238833	0.0814245608101859	0
primary_six	narrow	ADHD	0.317344929672017	0.0163505729908474	0.0515230320766306	0
primary_six	narrow	OCD_2025	0.317344929672017	0.0299514688021921	0.0943814316905825	0
primary_six	narrow	PTSD	0.317344929672017	0.0118353679090096	0.0372949645713317	0
primary_six	narrow	AUD	0.317344929672017	0.0138955159123147	0.0437867903756208	0
primary_six	broad	BD_PGC2021	0.570822663042189	0.296896297436351	0.520120024411868	0
primary_six	broad	MDD_CLIN_PGC2025	0.570822663042189	0.129051894515297	0.226080537565761	0
primary_six	broad	ADHD	0.570822663042189	0.0131297452186206	0.0230014434757125	0
primary_six	broad	OCD_2025	0.570822663042189	0.0391741256998959	0.0686274884236692	0
primary_six	broad	PTSD	0.570822663042189	0.0488437260580156	0.0855672509526931	0
primary_six	broad	AUD	0.570822663042189	0.0437268741140087	0.076603255170296	0
sensitivity_all_ten	PGC	MDD_CLIN_PGC2025	0.528353542568201	0.0314707078433897	0.0595637301690418	2.22044604925031e-16
sensitivity_all_ten	PGC	BD_PGC2021	0.528353542568201	0.280233418062113	0.530389967104157	2.22044604925031e-16
sensitivity_all_ten	PGC	PTSD	0.528353542568201	0.0235003963101315	0.0444785440368236	2.22044604925031e-16
sensitivity_all_ten	PGC	ANX	0.528353542568201	0.0328515484123391	0.0621772085650368	2.22044604925031e-16
sensitivity_all_ten	PGC	ADHD	0.528353542568201	0.0140850227417417	0.0266583293324347	2.22044604925031e-16
sensitivity_all_ten	PGC	ASD	0.528353542568201	0.0229304059518486	0.0433997391980932	2.22044604925031e-16
sensitivity_all_ten	PGC	OCD_2025	0.528353542568201	0.0356870900313731	0.067543959027712	2.22044604925031e-16
sensitivity_all_ten	PGC	AN	0.528353542568201	0.0130004076437762	0.0246055086156597	2.22044604925031e-16
sensitivity_all_ten	PGC	AUD	0.528353542568201	0.0287741509746467	0.0544600322632122	2.22044604925031e-16
sensitivity_all_ten	PGC	CUD_2023_EUR	0.528353542568201	0.0458203945968421	0.0867229816878297	2.22044604925031e-16
sensitivity_all_ten	narrow	MDD_CLIN_PGC2025	0.338208762368297	0.0194968563924337	0.0576474017287654	-1.11022302462516e-16
sensitivity_all_ten	narrow	BD_PGC2021	0.338208762368297	0.205862466747523	0.608684604461391	-1.11022302462516e-16
sensitivity_all_ten	narrow	PTSD	0.338208762368297	0.00833336131227205	0.0246396966592998	-1.11022302462516e-16
sensitivity_all_ten	narrow	ANX	0.338208762368297	0.0104647099741281	0.0309415696413343	-1.11022302462516e-16
sensitivity_all_ten	narrow	ADHD	0.338208762368297	0.0261486677363917	0.0773151693447753	-1.11022302462516e-16
sensitivity_all_ten	narrow	ASD	0.338208762368297	0.0212938001050324	0.0629605216491828	-1.11022302462516e-16
sensitivity_all_ten	narrow	OCD_2025	0.338208762368297	0.0208130933190145	0.0615391900945188	-1.11022302462516e-16
sensitivity_all_ten	narrow	AN	0.338208762368297	0.0062042879160678	0.018344551077336	-1.11022302462516e-16
sensitivity_all_ten	narrow	AUD	0.338208762368297	0.0126776726484803	0.0374847551544947	-1.11022302462516e-16
sensitivity_all_ten	narrow	CUD_2023_EUR	0.338208762368297	0.00691384621695258	0.0204425401889016	-1.11022302462516e-16
sensitivity_all_ten	broad	MDD_CLIN_PGC2025	0.603503243143185	0.0988144689436126	0.163734777014559	-1.11022302462516e-16
sensitivity_all_ten	broad	BD_PGC2021	0.603503243143185	0.270135317434049	0.447612039377157	-1.11022302462516e-16
sensitivity_all_ten	broad	PTSD	0.603503243143185	0.0346820124959933	0.057467814614154	-1.11022302462516e-16
sensitivity_all_ten	broad	ANX	0.603503243143185	0.045285188524198	0.0750371916617088	-1.11022302462516e-16
sensitivity_all_ten	broad	ADHD	0.603503243143185	0.0127170924710789	0.0210721195214219	-1.11022302462516e-16
sensitivity_all_ten	broad	ASD	0.603503243143185	0.033112802176445	0.0548676457875949	-1.11022302462516e-16
sensitivity_all_ten	broad	OCD_2025	0.603503243143185	0.0261191388236473	0.0432792020927887	-1.11022302462516e-16
sensitivity_all_ten	broad	AN	0.603503243143185	0.0245693167116918	0.0407111593696317	-1.11022302462516e-16
sensitivity_all_ten	broad	AUD	0.603503243143185	0.0358176338912352	0.0593495300947989	-1.11022302462516e-16
sensitivity_all_ten	broad	CUD_2023_EUR	0.603503243143185	0.0222502716712335	0.0368685204661849	-1.11022302462516e-16
