Annotation	lhs	op	rhs	Cov_Smooth	Z_smooth	Enrichment	Enrichment_SE	Enrichment_p_value	Error	Warning	target_parameter	est	SE	Fixed_Enrich	Bonferroni_alpha	Bonferroni_significant	Annotation_model_warning	Annotation_model_error	Bonferroni_significant_no_warning	n_annotations_in_family	n_parameters_in_family
"baseL2"	"F_COMP"	"~~"	"SCZ_PGC"	0	0	1.00000019626561	0.0908916478965664	0.499999138549551	0	"0"	"F_COMP~~SCZ_PGC"	NA	NA	NA	0.000163398692810458	FALSE	FALSE	FALSE	FALSE	51	6
"Coding_UCSCL2"	"F_COMP"	"~~"	"SCZ_PGC"	0.00503848720574876	1.05016988976779	1.96325811340042	2.48314486443878	0.349038131469271	0	"lavaan->lav_object_post_check():  
   some estimated ov variances are negative"	"F_COMP~~SCZ_PGC"	NA	NA	NA	0.000163398692810458	FALSE	TRUE	FALSE	FALSE	51	6
"Conserved_LindbladTohL2"	"F_COMP"	"~~"	"SCZ_PGC"	0.00174853894222563	0.697906754127202	5.1728124624043	3.04944143198913	0.0855956677553763	0	"0"	"F_COMP~~SCZ_PGC"	NA	NA	NA	0.000163398692810458	FALSE	FALSE	FALSE	FALSE	51	6
"CTCF_HoffmanL2"	"F_COMP"	"~~"	"SCZ_PGC"	0.0322335433063878	2.49865427667858	3.21011617431904	2.53043470771028	0.191218831069499	0	"0"	"F_COMP~~SCZ_PGC"	NA	NA	NA	0.000163398692810458	FALSE	FALSE	FALSE	FALSE	51	6
"DGF_ENCODEL2"	"F_COMP"	"~~"	"SCZ_PGC"	0.0457147900162544	2.12817144113385	3.44744997729642	1.07073961612531	0.0111342555582074	0	"lavaan->lav_object_post_check():  
   some estimated ov variances are negative"	"F_COMP~~SCZ_PGC"	NA	NA	NA	0.000163398692810458	FALSE	TRUE	FALSE	FALSE	51	6
"DHS_peaks_TrynkaL2"	"F_COMP"	"~~"	"SCZ_PGC"	0.0251848050005663	1.34224984178974	3.42786120150212	1.24770913644074	0.0258360731303703	0	"0"	"F_COMP~~SCZ_PGC"	NA	NA	NA	0.000163398692810458	FALSE	FALSE	FALSE	FALSE	51	6
"DHS_TrynkaL2"	"F_COMP"	"~~"	"SCZ_PGC"	0.0195883033999108	1.22872879150856	2.50343911995259	0.968992860473301	0.0603851839472409	0	"0"	"F_COMP~~SCZ_PGC"	NA	NA	NA	0.000163398692810458	FALSE	FALSE	FALSE	FALSE	51	6
"Enhancer_AnderssonL2"	"F_COMP"	"~~"	"SCZ_PGC"	0.00501978310908668	1.98553401197701	NA	NA	NA	0	"lavaan->lav_lavaan_step11_estoptim():  
   the optimizer warns that a solution has NOT been found!"	"F_COMP~~SCZ_PGC"	NA	NA	NA	0.000163398692810458	FALSE	TRUE	FALSE	FALSE	51	6
"Enhancer_HoffmanL2"	"F_COMP"	"~~"	"SCZ_PGC"	0.0115420479446174	2.18127732369155	1.4903216793629	1.43532159658595	0.366321820192621	0	"0"	"F_COMP~~SCZ_PGC"	NA	NA	NA	0.000163398692810458	FALSE	FALSE	FALSE	FALSE	51	6
"FetalDHS_TrynkaL2"	"F_COMP"	"~~"	"SCZ_PGC"	0.0208253269899367	0.94239668064383	2.96289927119607	1.30833451098456	0.0667678595527326	0	"lavaan->lav_object_post_check():  
   some estimated ov variances are negative"	"F_COMP~~SCZ_PGC"	NA	NA	NA	0.000163398692810458	FALSE	TRUE	FALSE	FALSE	51	6
"H3K27ac_HniszL2"	"F_COMP"	"~~"	"SCZ_PGC"	0	0	1.29017990323801	0.186579189945329	0.0599415999153901	0	"0"	"F_COMP~~SCZ_PGC"	NA	NA	NA	0.000163398692810458	FALSE	FALSE	FALSE	FALSE	51	6
"H3K27ac_PGC2L2"	"F_COMP"	"~~"	"SCZ_PGC"	0.0233884659579833	1.11443351746652	1.89579188486118	0.361844372006732	0.00665011280171506	0	"0"	"F_COMP~~SCZ_PGC"	NA	NA	NA	0.000163398692810458	FALSE	FALSE	FALSE	FALSE	51	6
"H3K4me1_peaks_TrynkaL2"	"F_COMP"	"~~"	"SCZ_PGC"	0.0319011176667473	0.799523756392183	2.28086832594053	0.769674902114824	0.0480394326504565	0	"lavaan->lav_object_post_check():  
   some estimated ov variances are negative"	"F_COMP~~SCZ_PGC"	NA	NA	NA	0.000163398692810458	FALSE	TRUE	FALSE	FALSE	51	6
"H3K4me1_TrynkaL2"	"F_COMP"	"~~"	"SCZ_PGC"	0.00829302781212797	0.26666750200409	1.75366676775726	0.287980194248386	0.00443429747421957	0	"0"	"F_COMP~~SCZ_PGC"	NA	NA	NA	0.000163398692810458	FALSE	FALSE	FALSE	FALSE	51	6
"H3K4me3_peaks_TrynkaL2"	"F_COMP"	"~~"	"SCZ_PGC"	0.00822075864429268	0.865856674493034	2.65720960568785	2.02495253706948	0.206566038898458	0	"lavaan->lav_object_post_check():  
   covariance matrix of latent variables is not positive definite ; use 
   lavInspect(fit, ""cov.lv"") to investigate."	"F_COMP~~SCZ_PGC"	NA	NA	NA	0.000163398692810458	FALSE	TRUE	FALSE	FALSE	51	6
"H3K4me3_TrynkaL2"	"F_COMP"	"~~"	"SCZ_PGC"	0.00772740351326712	0.783407586322392	2.57347206457835	0.626241814030383	0.00599288366192201	0	"0"	"F_COMP~~SCZ_PGC"	NA	NA	NA	0.000163398692810458	FALSE	FALSE	FALSE	FALSE	51	6
"H3K9ac_peaks_TrynkaL2"	"F_COMP"	"~~"	"SCZ_PGC"	0.00966390702080234	1.57984746596072	9.91739380404253	2.05120765005327	6.88844535154413e-06	0	"0"	"F_COMP~~SCZ_PGC"	NA	NA	NA	0.000163398692810458	TRUE	FALSE	FALSE	TRUE	51	6
