Annotation	lhs	op	rhs	Cov_Smooth	Z_smooth	Enrichment	Enrichment_SE	Enrichment_p_value	Error	Warning	target_parameter	est	SE	Fixed_Enrich	annotation_raw	annotation_key	annotation_basename	annotation_class	published_label	is_nonbase	alpha_168	alpha_155	Bonferroni_significant_168	Bonferroni_significant_155	Annotation_model_warning	Annotation_model_error
PIL2	F_COMP	~~	SCZ_PGC	0.0029099948347361	0.706426980257223	11.2469391752215	2.05605322474065	3.11752431147264e-07	0	"lavaan->lav_object_post_check():  
   some estimated ov variances are negative"	F_COMP~~SCZ_PGC				PIL2	PI	PIL2	custom	PI Genes	True	0.000297619047619	0.0003225806451612	True	True	True	False
ASC1L2	F_COMP	~~	SCZ_PGC	0.0026020931159143	0.810462887448266	5.42407480184052	2.24738474253069	0.0245027636009328	0	0	F_COMP~~SCZ_PGC				ASC1L2	ASC1	ASC1L2	custom	ASC1	True	0.000297619047619	0.0003225806451612	False	False	False	False
ASC2L2	F_COMP	~~	SCZ_PGC	0.001954500533634	0.642252391212333	6.33865041090368	2.43296871040722	0.0141071141652757	0	0	F_COMP~~SCZ_PGC				ASC2L2	ASC2	ASC2L2	custom	ASC2	True	0.000297619047619	0.0003225806451612	False	False	False	False
ENDL2	F_COMP	~~	SCZ_PGC	0.0016694299506077	0.614269741011969	7.77763021139027	2.31524430802486	0.001709082725372	0	"lavaan->lav_object_post_check():  
   some estimated ov variances are negative"	F_COMP~~SCZ_PGC				ENDL2	END	ENDL2	custom	Endothelial Cells	True	0.000297619047619	0.0003225806451612	False	False	True	False
exCA1L2	F_COMP	~~	SCZ_PGC	0.0026337382602017	0.761942050097373	10.136403534562	2.22837970537696	2.06556346395843e-05	0	0	F_COMP~~SCZ_PGC				exCA1L2	exCA1	exCA1L2	custom	exCA1	True	0.000297619047619	0.0003225806451612	True	True	False	False
exCA3L2	F_COMP	~~	SCZ_PGC	0.0027796172740105	0.717408219669533	10.6787362907868	2.34445953729729	1.82692321092173e-05	0	0	F_COMP~~SCZ_PGC				exCA3L2	exCA3	exCA3L2	custom	exCA3	True	0.000297619047619	0.0003225806451612	True	True	False	False
exDGL2	F_COMP	~~	SCZ_PGC	0.001814298091627	0.55013010069921	10.0609460348461	2.2925289038638	3.86888218218085e-05	0	0	F_COMP~~SCZ_PGC				exDGL2	exDG	exDGL2	custom	exDG	True	0.000297619047619	0.0003225806451612	True	True	False	False
exPFC1L2	F_COMP	~~	SCZ_PGC	0.002598141648289	0.754304713708172	10.3151329986005	2.42248225863632	6.02063733683441e-05	0	0	F_COMP~~SCZ_PGC				exPFC1L2	exPFC1	exPFC1L2	custom	exPFC1	True	0.000297619047619	0.0003225806451612	True	True	False	False
exPFC2L2	F_COMP	~~	SCZ_PGC	0.0019894859181593	0.93809277302606	9.48728929386764	2.27232027839234	9.3829194302294e-05	0	0	F_COMP~~SCZ_PGC				exPFC2L2	exPFC2	exPFC2L2	custom	exPFC2	True	0.000297619047619	0.0003225806451612	True	True	False	False
GABA1L2	F_COMP	~~	SCZ_PGC	0.0034829997369519	0.916053414245615	8.74539598282223	2.47177183196145	0.0008635567918133	0	"lavaan->lav_object_post_check():  
   some estimated ov variances are negative"	F_COMP~~SCZ_PGC				GABA1L2	GABA1	GABA1L2	custom	GABA1	True	0.000297619047619	0.0003225806451612	False	False	True	False
GABA2L2	F_COMP	~~	SCZ_PGC	0.0039527958589845	1.06099477479216	9.90548080442444	2.30599605766681	5.62588416351176e-05	0	"lavaan->lav_object_post_check():  
   some estimated ov variances are negative"	F_COMP~~SCZ_PGC				GABA2L2	GABA2	GABA2L2	custom	GABA2	True	0.000297619047619	0.0003225806451612	True	True	True	False
MGL2	F_COMP	~~	SCZ_PGC	0.0018985847098695	0.664440400745171	7.71613170514517	2.64183554956369	0.0055075138042845	0	0	F_COMP~~SCZ_PGC				MGL2	MG	MGL2	custom	Microglia	True	0.000297619047619	0.0003225806451612	False	False	False	False
