record_type	record_id	annotation_class	published_label	source_label	source_protocol	n_input_annotations	n_s_ldsc_matrices	n_tested_rows	n_finite_p	n_significant_168	n_warning_rows	n_error_rows	notes
run_summary	D6B				Grotzinger et al. 2022 PI/brain-cell annotation protocol	210	197	984	894	78	432	0	200 LDSC blocks; published 0.05/168 and covariance-protocol 0.05/155 thresholds gave identical calls; baseline continuous/flanking annotations were retained for conditioning and excluded from enrichment output; the custom subset contained 30 significant rows, including 20 warning-free and 10 warning-bearing rows.
class_summary	baseline	baseline				97		306	252	12	174	0	Annotation family summary after official enrich() exclusions.
class_summary	expression	expression				24		144	144	0	0	0	Annotation family summary after official enrich() exclusions.
class_summary	chromatin	chromatin				60		360	342	36	192	0	Annotation family summary after official enrich() exclusions.
class_summary	custom	custom				29		174	156	30	66	0	Annotation family summary after official enrich() exclusions; 20 significant rows were warning-free and 10 were warning-bearing.
target_summary	F_COMP~~SCZ_PGC				PGC SCZ			164	149	34	72	0	Six annotation-dependent COMP, INT and SUD covariance parameters were evaluated.
target_summary	F_INT~~SCZ_PGC				PGC SCZ			164	149	33	72	0	Six annotation-dependent COMP, INT and SUD covariance parameters were evaluated.
target_summary	F_SUD~~SCZ_PGC				PGC SCZ			164	149	11	72	0	Six annotation-dependent COMP, INT and SUD covariance parameters were evaluated.
target_summary	F_COMP~~SCZ_FG				FinnGen SCZ			164	149	0	72	0	Six annotation-dependent COMP, INT and SUD covariance parameters were evaluated.
target_summary	F_INT~~SCZ_FG				FinnGen SCZ			164	149	0	72	0	Six annotation-dependent COMP, INT and SUD covariance parameters were evaluated.
target_summary	F_SUD~~SCZ_FG				FinnGen SCZ			164	149	0	72	0	Six annotation-dependent COMP, INT and SUD covariance parameters were evaluated.
annotation_provenance	PI Genes	custom	PI Genes	PI	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	ASC1	custom	ASC1	ASC1	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	ASC2	custom	ASC2	ASC2	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	Endothelial Cells	custom	Endothelial Cells	END	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	exCA1	custom	exCA1	exCA1	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	exCA3	custom	exCA3	exCA3	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	exDG	custom	exDG	exDG	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	exPFC1	custom	exPFC1	exPFC1	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	exPFC2	custom	exPFC2	exPFC2	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
annotation_provenance	GABA1	custom	GABA1	GABA1	Grotzinger et al. 2022, Supplementary Table 10	1							Published PI, brain-cell or PI × brain-cell annotation; custom annotation reconstructed with the reference protocol.
