Annotation	annotation_key	annotation_basename	annotation_class	published_label	domain	raw_covariance_PGC	raw_covariance_FinnGen	delta_FinnGen_minus_PGC	SE	z	P_two_sided	alpha_domain_29	Bonferroni_significant_domain_29	QC_model_warning_free	QC_zsmooth_ok	QC_primary_eligible	Bonferroni_significant_domain_29_primary	Annotation_model_warning	Annotation_model_error	Z_smooth_PGC	Z_smooth_FinnGen	max_abs_Z_smooth	contrast_status	finite_contrast	covariance_condition_number
ASC1L2	ASC1	ASC1L2	custom	ASC1	COMP	0.00730889508003501	0.00495517988953996	-0.00235371519049505	0.00432416578600832	-0.54431659352908	0.586223630151165	0.00172413793103448	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	0.810462887448266	0.810462887448266	0.810462887448266	sandwich captured	TRUE	10.1139690898552
ASC1L2	ASC1	ASC1L2	custom	ASC1	INT	0.00686940977753073	0.00145762015149053	-0.0054117896260402	0.00224631383794929	-2.40918679064932	0.0159881127457403	0.00172413793103448	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	0.810462887448266	0.810462887448266	0.810462887448266	sandwich captured	TRUE	10.1139690898552
ASC1L2	ASC1	ASC1L2	custom	ASC1	SUD	0.00350904141314297	-0.00106180052276288	-0.00457084193590585	0.00148654572886355	-3.07480748634636	0.00210638468637206	0.00172413793103448	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	0.810462887448266	0.810462887448266	0.810462887448266	sandwich captured	TRUE	10.1139690898552
ASC2L2	ASC2	ASC2L2	custom	ASC2	COMP	0.00800186585819671	0.000498032965044641	-0.00750383289315207	0.00429207635848239	-1.74829902043153	0.080412262783202	0.00172413793103448	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	0.642252391212333	0.642252391212333	0.642252391212333	sandwich captured	TRUE	9.23198048238521
ASC2L2	ASC2	ASC2L2	custom	ASC2	INT	0.00609423995109736	0.00379397510053769	-0.00230026485055967	0.00220269873997935	-1.04429389675922	0.296349435743925	0.00172413793103448	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	0.642252391212333	0.642252391212333	0.642252391212333	sandwich captured	TRUE	9.23198048238521
ASC2L2	ASC2	ASC2L2	custom	ASC2	SUD	0.0038196142432848	0.000150994708146713	-0.00366861953513809	0.00149616316622032	-2.45201834797599	0.0142057418199853	0.00172413793103448	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	0.642252391212333	0.642252391212333	0.642252391212333	sandwich captured	TRUE	9.23198048238521
ENDL2	END	ENDL2	custom	Endothelial Cells	COMP	0.0102194247206179	0.0106716729913734	0.000452248270755488	0.00486956038751064	0.0928725048600704	0.926004849261569	0.00172413793103448	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	0.614269741011969	0.614269741011969	0.614269741011969	sandwich captured	TRUE	11.4221487447712
ENDL2	END	ENDL2	custom	Endothelial Cells	INT	0.00587903397949634	0.00266707662020917	-0.00321195735928718	0.00196082312685645	-1.63806582822007	0.101407962435159	0.00172413793103448	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	0.614269741011969	0.614269741011969	0.614269741011969	sandwich captured	TRUE	11.4221487447712
ENDL2	END	ENDL2	custom	Endothelial Cells	SUD	0.00380120765872707	-0.00068926046938881	-0.00449046812811588	0.00160584268952752	-2.79633127042917	0.0051686391643755	0.00172413793103448	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	0.614269741011969	0.614269741011969	0.614269741011969	sandwich captured	TRUE	11.4221487447712
GABA1L2	GABA1	GABA1L2	custom	GABA1	COMP	0.0126130940217095	0.00416127822489427	-0.00845181579681523	0.00506617255280504	-1.66828423404876	0.0952593161534009	0.00172413793103448	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	0.916053414245615	0.916053414245615	0.916053414245615	sandwich captured	TRUE	11.7662276499394
