section	disease	analysis_key	definition_class	role	h2	se	z_h2	current_z_gt_6	current_gate
neurological	AD	AD_GCST90704646_MAIN	main_proxy_biobank_inclusive	target_definition	0.0726	0.0103	7.0485	TRUE	PASS
neurological	AD	AD_GCST90704647_NOPROXY	no_proxy	target_definition	0.0767	0.0109	7.0367	TRUE	PASS
neurological	AD	AD_GCST90704648_NOBIOBANK	no_biobank	target_definition	0.0971	0.0145	6.6966	TRUE	PASS
neurological	Epilepsy	EPILEPSY_EHR_META_2OF3	EHR_meta_at_least_2_of_3	target_definition	0.0609	0.0057	10.6842	TRUE	PASS
neurological	Epilepsy	EPILEPSY_EHR_META_3OF3	EHR_meta_all_3	target_definition	0.0603	0.006	10.05	TRUE	PASS
neurological	Epilepsy	EPILEPSY_FINNGEN_R13	FinnGen_registry	candidate_or_meta_component	0.0704	0.0106	6.6415	TRUE	PASS
neurological	Epilepsy	EPILEPSY_ILAE2023_EUR	clinical_consortium	target_definition	0.1106	0.013	8.5077	TRUE	PASS
neurological	Epilepsy	EPILEPSY_MVP2024_EUR	MVP_EHR	candidate_or_meta_component	0.0891	0.0199	4.4774	FALSE	FAIL
neurological	Epilepsy	EPILEPSY_UKB_X345_GCST90435926	UKB_broad_EHR	candidate_or_meta_component	0.0446	0.0226	1.9735	FALSE	FAIL
psychiatric	BD	BD_CLIN_PGC4	clinical_case_control	target_definition	0.3502	0.0168	20.85	TRUE	PASS
psychiatric	BD	BD_FINNGEN_R13	registry_EHR	target_definition	0.1497	0.016	9.36	TRUE	PASS
psychiatric	BD	BD_PGC2021	clinical_case_control	auxiliary_in_P2.5	0.2788	0.0114	24.46	TRUE	PASS
psychiatric	MDD	MDD_CLIN_PGC2025	stringent_clinical	target_definition	0.095	0.0096	9.9	TRUE	PASS
psychiatric	MDD	MDD_EHR_PGC2025	EHR_registry	target_definition	0.0474	0.0016	29.63	TRUE	PASS
psychiatric	MDD	MDD_FINNGEN_R13	registry_EHR	target_definition	0.041	0.0021	19.52	TRUE	PASS
psychiatric	MDD	MDD_QUEST_PGC2025	minimal_questionnaire	target_definition	0.0704	0.0037	19.03	TRUE	PASS
psychiatric	SCZ	SCZ_FINNGEN_R13	registry_EHR	target_definition	0.13	0.0185	7.03	TRUE	PASS
psychiatric_sensitivity	SCZ	SCZ_FINNGEN_R13_EXMORE	broad_registry_ICD_F20_F29	target_definition	0.1363556618031	0.0127609820917577	10.6853579781428	TRUE	PASS
psychiatric	SCZ	SCZ_PGC2022	clinical_case_control	target_definition	0.3876	0.0136	28.5	TRUE	PASS
