target	auxiliary	rg	se	z	p	eligible_rg2_lt_0.5
BD_CLIN_PGC4	ADHD	0.1516	0.0321	4.7271	2.2773e-06	TRUE
BD_CLIN_PGC4	AN	0.1833	0.0354	5.1761	2.2655e-07	TRUE
BD_CLIN_PGC4	ANX	0.3737	0.0282	13.2535	4.305e-40	TRUE
BD_CLIN_PGC4	ASD	0.1581	0.0499	3.1678	0.0015	TRUE
BD_CLIN_PGC4	AUD	0.2927	0.025	11.7324	8.6932e-32	TRUE
BD_CLIN_PGC4	CUD_2023_EUR	0.2693	0.031	8.6969	3.4119e-18	TRUE
BD_CLIN_PGC4	MDD_CLIN_PGC2025	0.4248	0.0521	8.1462	3.756e-16	TRUE
BD_CLIN_PGC4	OCD_2025	0.3552	0.0357	9.9619	2.2381e-23	TRUE
BD_CLIN_PGC4	PTSD	0.3721	0.0279	13.3124	1.9618e-40	TRUE
BD_CLIN_PGC4	SCZ_PGC2022	0.6808	0.0184	36.9191	2.2808e-298	TRUE
BD_FINNGEN_R13	ADHD	0.4987	0.0482	10.3517	4.1121e-25	TRUE
BD_FINNGEN_R13	AN	0.324	0.0669	4.8409	1.2924e-06	TRUE
BD_FINNGEN_R13	ANX	0.6062	0.0421	14.395	5.5609e-47	TRUE
BD_FINNGEN_R13	ASD	0.3698	0.0757	4.8868	1.0251e-06	TRUE
BD_FINNGEN_R13	AUD	0.441	0.0406	10.8654	1.6844e-27	TRUE
BD_FINNGEN_R13	CUD_2023_EUR	0.5556	0.0527	10.5453	5.3421e-26	TRUE
BD_FINNGEN_R13	MDD_CLIN_PGC2025	0.7255	0.0815	8.8987	5.6528e-19	FALSE
BD_FINNGEN_R13	OCD_2025	0.4199	0.0618	6.7942	1.089e-11	TRUE
BD_FINNGEN_R13	PTSD	0.6933	0.0464	14.9384	1.854e-50	TRUE
BD_FINNGEN_R13	SCZ_PGC2022	0.5045	0.0469	10.758	5.4348e-27	TRUE
MDD_CLIN_PGC2025	ADHD	0.506	0.0487	10.3799	3.0603e-25	TRUE
MDD_CLIN_PGC2025	AN	0.2168	0.0549	3.9467	7.9249e-05	TRUE
MDD_CLIN_PGC2025	ANX	0.819	0.041	19.9705	9.9415e-89	FALSE
MDD_CLIN_PGC2025	ASD	0.3871	0.0704	5.5	3.7987e-08	TRUE
MDD_CLIN_PGC2025	AUD	0.33	0.0401	8.2294	1.8822e-16	TRUE
MDD_CLIN_PGC2025	BD_PGC2021	0.4861	0.0454	10.7161	8.5519e-27	TRUE
MDD_CLIN_PGC2025	CUD_2023_EUR	0.3965	0.0495	8.0041	1.2031e-15	TRUE
MDD_CLIN_PGC2025	OCD_2025	0.5026	0.0565	8.8983	5.6727e-19	TRUE
MDD_CLIN_PGC2025	PTSD	0.7506	0.0531	14.1219	2.7821e-45	FALSE
MDD_CLIN_PGC2025	SCZ_PGC2022	0.4042	0.0357	11.317	1.0806e-29	TRUE
MDD_EHR_PGC2025	ADHD	0.6286	0.02	31.4232	9.765e-217	TRUE
MDD_EHR_PGC2025	AN	0.2661	0.0305	8.7222	2.729e-18	TRUE
MDD_EHR_PGC2025	ANX	0.9172	0.0133	68.953	0	FALSE
MDD_EHR_PGC2025	ASD	0.3194	0.0327	9.7608	1.6592e-22	TRUE
MDD_EHR_PGC2025	AUD	0.5913	0.0232	25.4741	3.823e-143	TRUE
MDD_EHR_PGC2025	BD_PGC2021	0.4701	0.0206	22.8055	4.0451e-115	TRUE
MDD_EHR_PGC2025	CUD_2023_EUR	0.5151	0.0243	21.1627	2.1082e-99	TRUE
MDD_EHR_PGC2025	OCD_2025	0.5237	0.0281	18.6684	8.9504e-78	TRUE
MDD_EHR_PGC2025	PTSD	0.9467	0.013	72.9495	0	FALSE
MDD_EHR_PGC2025	SCZ_PGC2022	0.3694	0.0195	18.9066	1.0055e-79	TRUE
MDD_FINNGEN_R13	ADHD	0.4905	0.0274	17.9091	1.0018e-71	TRUE
MDD_FINNGEN_R13	AN	0.2952	0.0364	8.1136	4.9122e-16	TRUE
MDD_FINNGEN_R13	ANX	0.7792	0.0221	35.2806	1.1649e-272	FALSE
MDD_FINNGEN_R13	ASD	0.3417	0.044	7.7604	8.4672e-15	TRUE
MDD_FINNGEN_R13	AUD	0.3918	0.0246	15.901	6.2327e-57	TRUE
MDD_FINNGEN_R13	BD_PGC2021	0.5251	0.0253	20.7585	1.0282e-95	TRUE
MDD_FINNGEN_R13	CUD_2023_EUR	0.4327	0.0295	14.6493	1.3603e-48	TRUE
MDD_FINNGEN_R13	OCD_2025	0.5202	0.0335	15.5107	2.9358e-54	TRUE
MDD_FINNGEN_R13	PTSD	0.7921	0.0175	45.181	0	FALSE
MDD_FINNGEN_R13	SCZ_PGC2022	0.4263	0.0221	19.2782	8.1877e-83	TRUE
MDD_QUEST_PGC2025	ADHD	0.4723	0.0271	17.4511	3.3767e-68	TRUE
MDD_QUEST_PGC2025	AN	0.2519	0.042	5.9941	2.0466e-09	TRUE
MDD_QUEST_PGC2025	ANX	0.8049	0.0217	37.0992	2.8964e-301	FALSE
MDD_QUEST_PGC2025	ASD	0.3308	0.0456	7.2592	3.8948e-13	TRUE
MDD_QUEST_PGC2025	AUD	0.3707	0.0248	14.975	1.0705e-50	TRUE
MDD_QUEST_PGC2025	BD_PGC2021	0.4144	0.028	14.7892	1.7198e-49	TRUE
MDD_QUEST_PGC2025	CUD_2023_EUR	0.3545	0.0322	11.0087	3.4713e-28	TRUE
MDD_QUEST_PGC2025	OCD_2025	0.4433	0.0373	11.892	1.3029e-32	TRUE
MDD_QUEST_PGC2025	PTSD	0.8208	0.0241	34.0066	1.7782e-253	FALSE
MDD_QUEST_PGC2025	SCZ_PGC2022	0.2579	0.0283	9.1112	8.1499e-20	TRUE
SCZ_FINNGEN_R13	ADHD	-0.0148	0.0504	-0.2934	0.7692	TRUE
SCZ_FINNGEN_R13	AN	0.1552	0.0611	2.5396	0.0111	TRUE
SCZ_FINNGEN_R13	ANX	0.2193	0.0467	4.6985	2.6213e-06	TRUE
SCZ_FINNGEN_R13	ASD	0.1942	0.0931	2.0856	0.037	TRUE
SCZ_FINNGEN_R13	AUD	0.1803	0.0518	3.4811	5e-04	TRUE
SCZ_FINNGEN_R13	BD_PGC2021	0.5346	0.0566	9.4482	3.4454e-21	TRUE
SCZ_FINNGEN_R13	CUD_2023_EUR	0.1403	0.0548	2.561	0.0104	TRUE
SCZ_FINNGEN_R13	MDD_CLIN_PGC2025	0.2595	0.0909	2.8558	0.0043	TRUE
SCZ_FINNGEN_R13	OCD_2025	0.28	0.07	4.0027	6.2627e-05	TRUE
SCZ_FINNGEN_R13	PTSD	0.1599	0.0522	3.0601	0.0022	TRUE
SCZ_FINNGEN_R13_EXMORE	MDD_CLIN_PGC2025	0.563428226238211	0.0681164020260329	8.27155001555834	1.32228536759545e-16	TRUE
SCZ_FINNGEN_R13_EXMORE	BD_PGC2021	0.695763941235493	0.045155943541437	15.4080257584925	1.44561155269615e-53	TRUE
SCZ_FINNGEN_R13_EXMORE	PTSD	0.436481410569969	0.0397718930933202	10.974619929351	5.06182739715592e-28	TRUE
SCZ_FINNGEN_R13_EXMORE	ANX	0.482008419277561	0.0397588414300164	12.1233014328648	7.94912433472663e-34	TRUE
SCZ_FINNGEN_R13_EXMORE	ADHD	0.246406550151929	0.0396399018002408	6.21612413152931	5.09584968469757e-10	TRUE
SCZ_FINNGEN_R13_EXMORE	ASD	0.306123076448567	0.0556554440518811	5.50032582909956	3.79090057563265e-08	TRUE
SCZ_FINNGEN_R13_EXMORE	OCD_2025	0.380110462171966	0.049260500589444	7.71633372831415	1.19723583042199e-14	TRUE
SCZ_FINNGEN_R13_EXMORE	AN	0.274003780036243	0.0442808215166942	6.18786577690166	6.09842190853021e-10	TRUE
SCZ_FINNGEN_R13_EXMORE	AUD	0.378439017448819	0.0494975803277184	7.64560641031769	2.0796288664771e-14	TRUE
SCZ_FINNGEN_R13_EXMORE	CUD_2023_EUR	0.33388434207416	0.0399384157293063	8.35997963307192	6.27290851009732e-17	TRUE
SCZ_PGC2022	ADHD	0.196801714427714	0.0207528432976333	9.48312053462849	2.46790154262734e-21	TRUE
SCZ_PGC2022	AN	0.230660072755734	0.0264105495313085	8.73363397767611	2.46618287277291e-18	TRUE
SCZ_PGC2022	ANX	0.416892414759663	0.022857194214721	18.23900216463	2.53035465446016e-74	TRUE
SCZ_PGC2022	ASD	0.252035771615213	0.0297823952483794	8.46257560929144	2.6153606801508e-17	TRUE
SCZ_PGC2022	AUD	0.355520443712622	0.0236679403382704	15.0211821827925	5.33477175094636e-51	TRUE
SCZ_PGC2022	BD_PGC2021	0.67611143650925	0.0243513239384979	27.7648738202838	1.1524792833536e-169	TRUE
SCZ_PGC2022	CUD_2023_EUR	0.372816070699899	0.0259681775786823	14.3566513117944	9.67922679381466e-47	TRUE
SCZ_PGC2022	MDD_CLIN_PGC2025	0.405927957115284	0.036497316461509	11.1221316105086	9.79044447801149e-29	TRUE
SCZ_PGC2022	OCD_2025	0.393778064763725	0.0279613128665526	14.0829605048611	4.8341430439017e-45	TRUE
SCZ_PGC2022	PTSD	0.371885567001856	0.0235936979114614	15.7620720752384	5.67416775449542e-56	TRUE
