chr	start	end	rho_PGC	var_PGC	p_PGC	m_PGC	rho_FG	var_FG	p_FG	m_FG
1	10583	1892606	-1.5557141375369873e-05	1.6761475503929926e-09	0.7039518592209097	319	3.3508564245201908e-06	3.194796098906821e-09	0.952726258366139	307
1	1892607	3582735	-8.655342197881201e-05	6.525134343718883e-09	0.2839476215259462	1570	-5.3167398317399185e-06	1.5659780147984996e-08	0.9661107468946	1539
1	3582736	4380810	6.0329580707520066e-05	5.329857936301869e-09	0.4085964503629854	1310	0.0001047262795745	1.393666709056378e-08	0.3750210689861931	1294
1	4380811	5913892	-7.649463820005995e-06	1.877528574647877e-08	0.9554802987406787	3801	8.949731825580057e-06	5.4981589966387956e-08	0.969553596472964	3746
1	5913893	7247334	-1.1591530158407915e-05	7.509794767078743e-09	0.8935922425295354	1912	2.4304777804234292e-05	1.828186163475025e-08	0.8573447611636495	1866
1	7247335	9365198	-0.0002593295997071	1.471654895635136e-08	0.0325401630299543	3265	-0.0003875054605074	3.8052733107748184e-08	0.0469796950887361	3199
1	9365199	10806983	2.74975204801532e-05	6.446032480630453e-09	0.7319825279719381	1491	-2.4203276698065775e-05	1.5179121033978232e-08	0.8442583817698526	1465
1	10806984	11777840	8.168494699009009e-05	4.772988897916356e-09	0.237066029126499	1099	8.041050080122902e-05	1.264266152999142e-08	0.4745200557738268	1084
1	11777841	12779465	-0.0001037620057191	5.787783028000227e-09	0.1725993297827733	1321	5.702948188949283e-05	1.4990167027960545e-08	0.6413611942897806	1271
1	12779466	14891510	0.0002282310503384	1.4001327188739472e-08	0.0537540801609581	2489	-0.0001554849266348	3.1012990427301174e-08	0.3772848620021163	2434
1	14891511	16897729	-4.996169684764938e-05	1.5269098098494894e-08	0.6859738178023443	3812	-9.678547965058936e-05	3.5069445674928076e-08	0.605276463324613	3756
1	16897730	18662898	-5.401468308453925e-05	1.1416758417065091e-08	0.6131919511953223	2689	5.060649515473677e-05	2.9646794752080274e-08	0.7688251124902943	2638
1	18662899	20469148	2.246843560536691e-07	1.658472615020027e-08	0.9986079381747112	3575	-0.0001117647972572	4.643477434674986e-08	0.6039973527511265	3509
1	20469149	21736587	-0.0001275262623286	9.966461907251388e-09	0.2014587671872892	2034	-0.0002447215618844	2.0908933189224107e-08	0.0905672957155608	1997
1	21736588	23086882	3.0000818214328523e-05	1.1929501497687792e-08	0.7835645702369924	2604	6.016822378901513e-05	3.3563356162753035e-08	0.7425913197586034	2560
1	23086883	23920589	1.1223717531406254e-05	3.975481345263899e-09	0.8587159373257057	1037	4.681604756162677e-05	9.488844327550425e-09	0.6307974184148921	1019
1	23920590	25516844	8.613801647545199e-05	1.0599316341219129e-08	0.4027761987299003	2425	4.6724217942969656e-05	2.9127040765992543e-08	0.7842575022883181	2381
1	25516845	27401866	-3.225952756092626e-05	7.183485783943022e-09	0.7034860323174155	1962	-6.0329848197923286e-05	2.438525213108659e-08	0.6992455836072577	1906
1	27401867	30161880	-3.108746911021932e-05	1.0473644790320783e-08	0.7613076189640384	2867	2.756498076545156e-05	2.3182811973870323e-08	0.8563361477350713	2806
1	30161881	32438684	0.0003505300290497	1.9809072820099548e-08	0.0127549892195452	4179	-9.453017981862867e-05	3.9996658014798964e-08	0.6364481725970876	4127
1	32438685	34799757	-8.145698164292373e-05	9.321605626940492e-09	0.3988426034753028	2500	-0.0002107438945597	2.2727944832946057e-08	0.1621442457806123	2465
1	34799758	37549182	0.0004636075984594	1.1440371549885029e-08	1.461483089478174e-05	2722	4.799216002219172e-06	2.9665099222421362e-08	0.9777704198701278	2663
1	37549183	38731846	0.0001544673715499	8.28161844870699e-09	0.0896247917523846	1884	-6.630248499468057e-06	2.0103888121421177e-08	0.96270319877187	1852
1	38731847	40200566	8.973703463873998e-05	9.521619876449492e-09	0.3577626415259108	1989	-5.481660095967303e-05	2.2734716958761523e-08	0.7161920828118341	1948
1	40200567	41975326	0.000134984512961	1.2285251519223932e-08	0.2232829863687225	2915	7.239618926334897e-05	2.6627421234758757e-08	0.6572877709798992	2862
1	41975327	43758456	3.890638589330403e-05	8.791354921567257e-09	0.6781804545708818	2545	-7.413358803345159e-06	2.0177568431799346e-08	0.9583779415972556	2492
1	43758457	44969182	0.0009108777516942	2.34478111843913e-08	2.705775078818581e-09	1466	8.043397483331464e-05	1.8108891468326034e-08	0.5500306264674896	1444
1	44969183	46899500	1.0593470607807462e-05	8.327700463440424e-09	0.9075852588229744	2455	-2.643899115932263e-05	1.3629777895848434e-08	0.8208400219749615	2394
1	46899501	48002575	-3.476585020583568e-06	5.336207387817607e-09	0.9620411852762236	1523	-6.527094907212553e-05	1.1795849920820811e-08	0.5478576494055488	1501
1	48002576	48978187	3.819138261134257e-05	5.157319433171379e-09	0.5948602544000852	1173	-2.3986470365544457e-05	1.3664723581794871e-08	0.8374200909123322	1163
1	48978188	49894176	5.647401461104586e-05	3.080401678166496e-09	0.3089038594319228	811	2.987599531238493e-05	6.7571733678704095e-09	0.7162717706300075	806
1	49894177	51713725	0.0001204049678352	4.348057247154574e-09	0.0678527913124363	1294	8.585748552694119e-05	7.825928551515773e-09	0.3317809740898294	1277
1	51713726	54226261	-2.7265116144338048e-05	9.261392569423044e-09	0.7769355614778498	2500	1.1409839450348149e-05	2.0836135160844693e-08	0.936997330122108	2445
1	54226262	56413116	0.0001472177422109	1.6525297491644336e-08	0.2521217640521724	3740	-8.3879402608783e-05	4.408171977994041e-08	0.6895185346997437	3702
1	56413117	57021727	-1.1291180353756626e-05	4.3077662134668175e-09	0.8634111125334901	1100	4.0244341404548354e-08	1.1395450098606924e-08	0.999699199098184	1091
