chr	start	end	rho	corr	h2_1	h2_2	var	p	m	q	bonferroni
11	130342575	131074611	0.0012389424644061	1.1549760934826212	0.001121561143394	0.0010259668590958	2.0609347251428738e-08	6.126437138662646e-18	1476	1.0402690261449174e-14	True
3	51832015	54081389	0.0015042514846499	1.1959654638130923	0.00209798607574	0.0007540515185966	5.1272906011302273e-08	3.069718139269868e-11	2566	2.606190700240118e-08	True
5	155373505	156628699	0.0011561520192597	1.0793566373367225	0.0005550044851649	0.0020672997792603	3.5787037364792715e-08	9.86619912964903e-10	1778	5.584268707381351e-07	True
11	15742552	17578401	0.0008260458784578	1.1280095713784424	0.0007372845116445	0.0007273570575584	1.9436386261049847e-08	3.1208865623828484e-09	2547	1.3248163457315192e-06	True
11	134205993	134946451	0.0008904247295459	1.048265569397287	0.0011562534783732	0.0006240203185598	2.9770625802040498e-08	2.461122421154346e-07	2168	8.357971742240159e-05	True
12	122007651	124977979	0.0010616639482983	0.8677535429805157	0.001799898170278	0.0008316362536606	4.650530824832135e-08	8.519797022111993e-07	3941	0.0002202253672744551	True
9	24158518	25330809	0.0007348788759337	0.9768113625433492	0.0004089573709714	0.0013839872261687	2.2395382084875172e-08	9.078784281043496e-07	1583	0.0002202253672744551	True
20	36909530	38436760	0.0010369955970059	1.030960220864673	0.0011040519965969	0.0009163902930981	4.7648015972929994e-08	2.0274773755947677e-06	2184	0.00043033207296998944	True
1	59890409	61922364	0.0008959197120448	1.0537613715216303	0.0011101819823849	0.0006511176392007	4.5417660911443286e-08	2.623062386123788e-05	2472	0.00494884436848688	True
7	109647594	112618683	0.0010378872799344	1.0599138495637677	0.0010788171420536	0.0008888150631481	6.426390331250806e-08	4.236701467732992e-05	3661	0.007030225762173031	False
5	139265072	140645970	0.000554558354605	0.9897965756312678	0.0007249962244824	0.0004329790329207	1.8498185939225202e-08	4.554327643339419e-05	1456	0.007030225762173031	False
16	17644749	18643606	0.000537369009235	1.1241934979043195	0.0002871881466345	0.0007956033147434	1.7777250322594484e-08	5.5699226317901055e-05	970	0.007881440523983	False
7	130422414	132805847	0.0010122813637212	1.1016422282459126	0.0010164743886774	0.0008306630501941	6.655697541102335e-08	8.717098773985058e-05	3913	0.01138587209094356	False
14	103012102	105001722	0.0007778676911084	1.0693394665934255	0.0016755970225114	0.000315798959756	3.975822649853113e-08	9.573828788172784e-05	3155	0.011611686630226704	False
4	169676825	170776509	0.0006434405549611	1.2971383795107507	0.0006251851898433	0.0003935823010452	3.177741202436533e-08	0.0003067669216887	1562	0.034726015535160845	False
4	694715	1478710	0.0004760682960636	0.8705509822107874	0.0003880969570566	0.0007705660373399	1.7568909856506952e-08	0.0003285612958164	1446	0.03486856751851545	False
4	25609322	27343721	0.0007576991429495	0.7910858580461331	0.000620896813646	0.00147749805958	4.561101720424576e-08	0.0003884294922203	2477	0.03879725163470996	False
1	71684405	74326906	0.0006698113208595	0.90467681663099	0.0016500625851393	0.000332213768615	3.7022760932540754e-08	0.0004993353644063	3293	0.04497223317801208	False
4	33172766	35151414	0.0004907754864452	1.2792534250180907	0.0004914851788143	0.0002994622764974	1.9899773345872573e-08	0.0005032228683052	2790	0.04497223317801208	False
1	34799758	37549182	0.0008024314981855	0.9192362522801302	0.0010757777228623	0.0007083356534394	5.378904360147623e-08	0.000540415836555	2845	0.0458813045235195	False
9	84211233	85440800	0.0004918425711231	1.0857266847786426	0.0006554025161212	0.000313114445332	2.054979802558588e-08	0.0006013322439334	1374	0.04747434189504606	False
8	59728100	62329098	0.0006698915871133	0.8635052701435427	0.0013698794741353	0.0004393359114027	3.825791449551393e-08	0.0006150974803834	3798	0.04747434189504606	False
15	46618787	48136047	0.0006416101794365	0.8351807306069351	0.0005612262768945	0.0010515830157523	3.5767593214561386e-08	0.0006924503691064	2567	0.05038337980119248	False
5	125785649	127344603	0.0005587515476758	1.094967475788045	0.0005265260739953	0.0004945556374739	2.7249263105318067e-08	0.0007121325766953	2061	0.05038337980119248	False
15	80860978	84260467	0.0008282475826225	1.0009149366746464	0.0009529385611367	0.0007185568141087	6.238600908775279e-08	0.0009131070682739	3711	0.06186667173689225	False
7	126869221	128778385	0.0006020283503066	1.1204881475203488	0.000617549163231	0.0004674636168852	3.3166564048639386e-08	0.0009473106390808	2943	0.06186667173689225	False
16	89041165	90292811	0.0007389102917114	0.943317933315345	0.0008979994307641	0.0006832681675382	5.14964991186508e-08	0.0011293866510062	2277	0.07102587160772324	False
18	19485844	20649471	0.000399265120602	1.0092664152373885	0.0001572104602055	0.0009954734055144	1.5346855428606518e-08	0.0012688393360065	1569	0.0769460425906799	False
7	1353067	2062397	0.0005420117876562	1.4397033002200228	0.0011058362824276	0.0001281683011787	2.8548240492970795e-08	0.0013371403595297	1314	0.07829187346487693	False
18	77149991	78017157	0.0005765768261974	1.2358566921122875	0.0008902286609571	0.0002444987070933	3.302280205025842e-08	0.0015094790207062	1958	0.08176841801220457	False
6	83127149	85209988	0.0006780176684371	0.9003409138574622	0.0007978751718759	0.0007107765636224	4.5867363142762867e-08	0.0015463519669782	2492	0.08176841801220457	False
2	214014282	215573794	0.0004904011149152	0.9903923077888002	0.0003457941779594	0.0007090399466879	2.4192186760966825e-08	0.0016164234439519	2434	0.08176841801220457	False
5	153773088	155373504	0.0006115957891291	1.1549872263016203	0.0002349048279366	0.0011936655723594	3.7980239697606356e-08	0.0016996781729313	2705	0.08176841801220457	False
14	99138532	101534306	0.0009623261004189	0.9327676579911168	0.0010712520421015	0.0009935870181374	9.418676940831089e-08	0.0017147483742655	3769	0.08176841801220457	False
2	191973357	195861163	0.0006562853663996	0.6696914860927582	0.0011229432540091	0.0008552204464415	4.384555526748615e-08	0.0017230968252824	3879	0.08176841801220457	False
3	60272906	62355665	0.0007936180110114	2.604762736292293	0.0010216488662758	9.086257348375855e-05	6.439594309842726e-08	0.0017636485989049	4085	0.08176841801220457	False
5	150561298	152867773	0.0006905656923037	1.6625255406451356	0.0012067988105481	0.0001429678782114	4.8851787514341634e-08	0.0017817617588054	4205	0.08176841801220457	False
7	2062398	2772226	0.0005635331282387	0.7261909756790419	0.0013934135259369	0.0004321725577694	3.2753619617712195e-08	0.0018469873676175	1313	0.08253117237406618	False
19	30727954	32746519	0.0005325714090273	1.4117419885033582	0.0007263186332424	0.0001959376278692	2.9560718199194358e-08	0.0019511793704303	2607	0.08495134797411923	False
2	228119842	229370786	0.0005812267112465	1.0094346472345583	0.0007400186326348	0.0004480144901147	3.5939364422172946e-08	0.0021700367255416	2834	0.09189920067358759	False
3	19125144	20091347	0.0003734699269194	1.3068835217968222	0.000233051087229	0.0003504179752205	1.496559996070253e-08	0.0022666273145377	1049	0.09189920067358759	False
3	135456906	137371082	0.0004441574838049	1.0831665695556842	0.0006724240159923	0.0002500577141492	2.1178797876464277e-08	0.0022731251050004	2366	0.09189920067358759	False
14	32383265	34846250	0.0010225813175585	0.8163258808638872	0.0015427967964212	0.0010170910864221	1.1563514827127065e-07	0.0026372262994352	4651	0.10336025047478724	False
12	99305987	101447640	0.0005906580750238		0.0009553832113125	-6.822519158300732e-05	3.8701449288118275e-08	0.0026783574916906	3077	0.10336025047478724	False
4	6773043	7539691	0.0005960880941702	1.7393019280634197	0.0005509286606809	0.0002131942918111	4.004642991146164e-08	0.0028946251509	2103	0.10922385569396001	False
17	77298636	78837587	0.0007495335596179	0.958955548266092	0.0006928240257107	0.0008817841198719	6.404541027334082e-08	0.0030590499262304	3328	0.11103862287112629	False
8	139254830	140725642	0.0005918516086184		0.0004888306257244	-2.821364211368931e-05	4.027257099364349e-08	0.0031857021607042	2826	0.11103862287112629	False
14	51493572	53474382	0.0007014402419144	1.307727144615252	0.0005944806036544	0.0004839599124467	5.667981133238264e-08	0.0032160374672769	3887	0.11103862287112629	False
5	118608820	119669041	0.0004260929964641	1.062114904270094	0.0003352495201802	0.0004800623210143	2.0952501246750937e-08	0.0032436455502562	1816	0.11103862287112629	False
10	104380410	106695047	0.0006392825735035	1.4921018960325232	0.0016147768859349	0.0001136779526233	4.7243683205025606e-08	0.0032696885415526	3071	0.11103862287112629	False
13	60854778	61591948	0.0003847633088539	1.6729225128192562	0.0001925243076963	0.0002747578315938	1.7324046966681084e-08	0.0034637568124354	1580	0.11382051719557275	False
16	29036613	31382942	0.000480821334588	3.3207949815400504	0.0007096991200057	2.953990295912825e-05	2.7113944444189893e-08	0.0034999719838132	1735	0.11382051719557275	False
11	62223771	63804568	0.0003478200166324	0.7051973940764673	0.0004163047780996	0.0005843544424026	1.4233856709085596e-08	0.0035527016556922	1504	0.11382051719557275	False
12	1080331	2544785	0.0008389466786188	0.7414757967200829	0.001441308215053	0.0008882145790702	8.396680330387863e-08	0.0037890109933962	2323	0.11914334568123607	False
15	84260468	86652904	0.0006802336736656	1.2674926406155669	0.0007322137577795	0.0003933575375801	5.5499386744566885e-08	0.0038838192080511	3940	0.11968562772112237	False
21	22072764	23362874	0.0005362729806412	1.045825359028654	0.0004239476202838	0.000620213612471	3.4616157477531134e-08	0.0039472291827932	2822	0.11968562772112237	False
11	65898631	68005824	0.0004105840032425	1.3428190484095175	0.0001741265895773	0.0005369130613576	2.060062775463442e-08	0.0042279921689933	2126	0.1259496614552741	False
1	97885249	99800603	0.0005618304886457	0.6888661880698967	0.0017238310775031	0.0003858745741645	3.873696007640149e-08	0.0043093494497593	2835	0.1261599200981257	False
3	195971408	197075986	0.0004522034480499	1.0513404345712458	0.0006152365353184	0.0003007037788891	2.5211070278112133e-08	0.0043996517372736	1932	0.12662048559136563	False
5	63218987	63968303	0.0002712324364251	1.5983639978188708	0.0002378142978219	0.0001210859939656	9.247909979620576e-09	0.0047954964826556	882	0.1357125504591535	False
11	112459488	114257727	0.000609321850521	0.4916479580928753	0.001338477691806	0.0011475559996657	4.7033998449513955e-08	0.0049606787600144	3082	0.13808577925417134	False
8	143044914	144236880	0.0005785251240297	0.6511433310059415	0.000923051377844	0.0008551954460305	4.323120877518023e-08	0.00539542618379	2721	0.14556615911380638	False
2	199311125	201576283	0.0006503486037762	0.5177722871929991	0.0020678937373968	0.0007629333553763	5.464462128164722e-08	0.0054008645607596	2467	0.14556615911380638	False
13	78808813	80585675	0.0004592991045855		0.0011374716817854	-3.839224637929721e-05	2.746706221058105e-08	0.0055826447680986	2412	0.14578055346104005	False
1	96150893	97885248	0.0005038357792606	0.9788803157849124	0.0009474848316159	0.0002796060430193	3.307096995843378e-08	0.0055962204699647	2673	0.14578055346104005	False
2	58297315	60291999	0.0005821936240404	1.389371095327321	0.0007824300532811	0.0002244154988386	4.428713414705368e-08	0.0056663819366482	2731	0.14578055346104005	False
1	7247335	9365198	0.0006738961412912	1.2822531779609785	0.0007408988048519	0.0003728030672057	5.976690192540759e-08	0.0058418396334324	3376	0.1480513984711674	False
2	53508452	54685225	0.0004763785289066	1.156232403031146	0.0004707666390288	0.000360585622831	3.006845752968941e-08	0.0060099135310374	2113	0.14926172973048818	False
7	5416232	5854525	0.0003333465556857	1.429571610544396	0.0001914198130585	0.0002840489749541	1.475545819262576e-08	0.0060654059784474	678	0.14926172973048818	False
11	63804569	65898630	0.0004305427961709	0.625208642298095	0.0005038314683278	0.0009412335942982	2.480651185478905e-08	0.0062647880229635	2150	0.15196585804274318	False
1	114873845	115880592	0.0004110459815075	1.2100810721694368	0.000612180507547	0.0001884830846885	2.2831832718811735e-08	0.0065218737084112	1405	0.155730140020196	False
18	71971462	73526986	0.0005346341193862	2.477804410093663	0.0007843495767547	5.935668425784182e-05	3.8849447881511595e-08	0.0066784704574683	2552	0.155730140020196	False
17	3702312	4696260	0.0005105818107608	0.9239519026761328	0.0003453334019011	0.0008842872499708	3.5454093907165505e-08	0.0066951120267811	2009	0.155730140020196	False
13	65200602	67844452	0.0005554856860997		0.0007894902705077	-9.140588383352798e-05	4.2115618896863726e-08	0.006794140606102	3777	0.1558979830967729	False
11	17578402	19569534	0.0005311362751487	1.8154884195932977	0.0004802221853206	0.0001782307937784	3.9319154385497346e-08	0.0073936079570518	3685	0.16543445367917242	False
6	42038721	43756168	0.0005374661878038	1.629744213467725	0.0007791169887587	0.0001395920630822	4.0276892723509394e-08	0.0074046045227427	2135	0.16543445367917242	False
10	92006581	93335046	0.000363177897101	3.367162670805084	0.0004118535184684	2.8246708138736957e-05	1.8648289191254493e-08	0.0078256847758929	2121	0.17257159414891096	False
5	31390249	33500179	0.0006585313761184	2.010133483315168	0.0003232932130629	0.000331975903032	6.173446914634618e-08	0.0080394794848996	3771	0.17457949396228054	False
9	34642243	36743282	0.0005229304441578	1.1701286804950353	0.0006861077238898	0.0002910906768789	3.907660274232858e-08	0.0081602954024544	2602	0.17457949396228054	False
2	26894985	28598776	0.0004198414164709	0.9317191547868272	0.000780855803572	0.0002600337186058	2.523946651831879e-08	0.0082251822832641	1675	0.17457949396228054	False
2	233550003	235150986	0.0005459074399985	2.1827123377741793	0.0013442751009957	4.653255134418459e-05	4.345419352682759e-08	0.0088238364265059	2989	0.18497375620008666	False
16	22448904	24136874	0.0005105261922032		0.0004218351426857	-6.804425131221561e-05	3.888636276599069e-08	0.0096276232115059	2311	0.19936224650167095	False
5	108633934	110821143	0.0005162359512516	1.0802513216441345	0.0003511688545318	0.0006503256570375	4.049719524615866e-08	0.0103090823324977	3340	0.2095812943121295	False
15	58441366	59694115	0.0004943125763142	1.486048992524558	0.0007004550904212	0.0001579635076413	3.7187883930063684e-08	0.0103679792239216	2100	0.2095812943121295	False
