chr	start	end	rho_PGC	var_PGC	p_PGC	m_PGC	rho_FG	var_FG	p_FG	m_FG
1	1892607	3582735	-2.482061071455372e-06	1.7891251835927755e-08	0.9851950400519064	377	0.000206029258937	3.366717894819488e-08	0.2614970397527785	373
1	3582736	4380810	-7.667215512422544e-05	1.0539122118153129e-08	0.4551519643361273	239	2.1738776278938497e-05	2.8436744309121362e-08	0.8974268560792052	239
1	4380811	5913892	0.0001184913926877	4.0246443933604665e-08	0.55476148272649	902	0.0001328185168562	1.1051112362188509e-07	0.6894984985766508	896
1	5913893	7247334	-0.0001703594860711	1.6509492151874874e-08	0.1848842583453265	478	8.857988798330548e-05	3.6634262283041545e-08	0.6435092198946556	472
1	7247335	9365198	-0.0003795361982781	2.9072067929038858e-08	0.026017587072675	739	-0.000713118110959	6.802022679508444e-08	0.0062517523237809	735
1	9365199	10806983	4.7696382982765434e-05	1.3447423269134297e-08	0.6808475709345385	386	-2.623816919533772e-05	2.602722429911158e-08	0.8708041804584773	385
1	10806984	11777840	0.0001048482861309	1.5659179802651242e-08	0.4021035137711918	252	4.726810416884172e-05	2.6149325892570913e-08	0.7700525661354691	251
1	11777841	12779465	-8.69535625279512e-05	1.119920547982131e-08	0.4112686769263032	286	0.0001678290875562	2.6577884168416922e-08	0.3032662895172441	280
1	12779466	14891510	4.779955580238228e-05	2.398498710203088e-08	0.7575943593573573	583	-0.0002526881017066	6.359735494257221e-08	0.3163463289400138	576
1	14891511	16897729	1.906872011739116e-05	2.8394221309744984e-08	0.9099008929056432	778	5.960632628572352e-06	6.309720872736376e-08	0.98106843192037	774
1	16897730	18662898	-0.0002200915959926	2.6024052242233273e-08	0.1724671180538317	663	-5.2425064734999696e-05	6.3407531646358e-08	0.8350773650467049	657
1	18662899	20469148	-5.970865507333337e-05	3.2921254002015226e-08	0.742096586457127	773	-2.9128035884505033e-05	8.065105931593553e-08	0.9183069141504066	770
1	20469149	21736587	7.859201056170691e-05	1.90333018951485e-08	0.5689033370075293	495	0.0001742555641959	4.105230530601398e-08	0.3897678350473139	491
1	21736588	23086882	-2.4276308921487816e-05	2.4535948328574442e-08	0.8768355161637388	583	-4.803252607204099e-05	6.470919900425484e-08	0.8502323892204684	580
1	23086883	23920589	6.330628360690748e-05	1.22241988759151e-08	0.5669287105117186	260	-2.6404925191201645e-05	1.839675170025415e-08	0.8456459159688821	259
1	23920590	25516844	0.0001335205357988	2.2813618064612043e-08	0.3766976213058177	600	-0.0001185701919439	7.539424957941872e-08	0.6658695983481412	597
