chr	start	end	rho_PGC	var_PGC	p_PGC	m_PGC	rho_FG	var_FG	p_FG	m_FG
1	10583	1892606	6.0311099600179415e-05	1.0865683375898749e-08	0.5628678314608498	164	-0.0001412726362954	2.0878306582453936e-08	0.3282173766884149	162
1	1892607	3582735	-5.938164521867038e-05	2.6056915780887214e-08	0.7129724766868646	444	-7.945918485336732e-06	5.888770438663849e-08	0.973878732062912	440
1	3582736	4380810	6.596358703590183e-05	1.8581870635426563e-08	0.6284537357917199	302	-4.459823761480392e-05	5.0667052778882426e-08	0.8429416986901608	302
1	4380811	5913892	0.0004061965947247	7.789943342307098e-08	0.1455708346116371	1011	9.953130775898698e-05	1.6535227493460302e-07	0.8066360796339558	1005
1	5913893	7247334	8.202924144543466e-05	2.3334917662338125e-08	0.5912750674499683	514	0.0001257136822415	5.2588130016385425e-08	0.5835548835612052	508
1	7247335	9365198	-0.0007139544968491	4.4822517017353315e-08	0.0007455116921362	810	-0.0007155774787059	1.0240010540919681e-07	0.0253400829358984	806
1	9365199	10806983	0.0001353100680648	2.0351154548615823e-08	0.3428769163907497	428	0.0001347461087632	4.0496009138251666e-08	0.5031180497312056	427
1	10806984	11777840	0.0001446697893778	1.8573248079713473e-08	0.2884472780786334	292	8.083930073685614e-05	4.133071967923088e-08	0.6908982714546108	290
1	11777841	12779465	3.122814707142203e-05	1.78983662880973e-08	0.8154346769015155	331	-3.460953163043813e-05	4.4275269059326996e-08	0.8693526877428753	327
1	12779466	14891510	1.9549028907653105e-05	4.4717312416325736e-08	0.9263438255379433	681	-0.0005712602784496	1.021092025310964e-07	0.0738198071487397	674
1	14891511	16897729	-9.071401863510046e-05	4.1767683262279916e-08	0.6571377429343973	856	-0.0002158471781998	9.421903730618296e-08	0.4819329533238046	851
1	16897730	18662898	-4.6899552129837726e-05	3.7753057148961566e-08	0.809264338129794	730	3.4210904854441496e-05	9.831401340038849e-08	0.9131167791950312	724
1	18662899	20469148	9.28141698305799e-06	4.97511520056215e-08	0.9668084557392078	873	0.0002189058486977	1.2601149296453753e-07	0.5374529135849004	870
1	20469149	21736587	8.145269384997271e-05	2.7410995427043213e-08	0.6227370055890604	537	-8.068771504373116e-05	6.26401574651848e-08	0.7471575770288141	531
1	21736588	23086882	-0.0001875256097226	3.423623191514988e-08	0.3108282441770768	619	-7.75970111256071e-05	9.162883485823653e-08	0.7976826022989586	615
1	23086883	23920589	0.0001292744143516	1.180981290673406e-08	0.2342142934812778	271	-0.0001491274816111	2.5575671084173255e-08	0.3510833726764821	270
1	23920590	25516844	-0.0001305178866302	3.25044878255781e-08	0.4691068740089192	646	5.937894954588996e-05	8.23037964842092e-08	0.8360276391955831	643
1	25516845	27401866	-2.3682089987333873e-05	2.3894875184892218e-08	0.878238087854725	555	-2.8046313284969617e-05	5.2775899516419835e-08	0.9028326694224474	552
