chr	start	end	rho_PGC	var_PGC	p_PGC	m_PGC	rho_FG	var_FG	p_FG	m_FG
1	10583	1892606	-4.0085067105799914e-05	4.255568380205586e-09	0.5389018528396337	191	1.1554725681035746e-05	1.0517876620837956e-08	0.9102947966205688	189
1	1892607	3582735	8.728192082704173e-05	2.511016496612148e-08	0.5817659316738968	613	-5.8850831480203815e-05	4.9282597260542576e-08	0.7909342698423434	610
1	3582736	4380810	4.2649084564871915e-05	8.602305932067309e-09	0.6456344705291726	329	-6.195180530994085e-06	2.366353520623384e-08	0.967875466534414	329
1	4380811	5913892	4.128315665560817e-05	2.5247716008022333e-08	0.7950075742634747	1018	0.0002781873327653	7.110460873656841e-08	0.2968324308598354	1012
1	5913893	7247334	2.928281417944125e-05	1.1208927374734211e-08	0.7820977271234861	541	-1.1205170523658825e-05	2.592962389582614e-08	0.9445233730532946	535
1	7247335	9365198	0.000424126241521	1.9097297401369812e-08	0.0021471411125234	822	0.0003770761013243	4.673202262969761e-08	0.0811064149231847	818
1	9365199	10806983	-3.1460391277633544e-05	9.711904544853957e-09	0.7495475283948234	441	-2.768561282032136e-05	2.0183012801600466e-08	0.8454890443388433	440
1	10806984	11777840	-9.2639456849177e-05	1.2155641558439114e-08	0.4007698167809833	317	9.1505858615688e-05	2.0074834998340722e-08	0.5183849365739612	315
1	11777841	12779465	-5.610262315716347e-05	1.0019263469721196e-08	0.5751475461894489	361	3.3654778370221596e-05	2.1900839519092072e-08	0.8201021785030488	357
1	12779466	14891510	-6.296107223702328e-05	1.635545123093556e-08	0.6224984548481276	683	5.320296071076237e-05	4.4414177279413045e-08	0.8006934297166229	680
1	14891511	16897729	4.52579209210168e-05	1.9281260331264444e-08	0.7444758673792307	879	0.0001235311198581	4.504847977669284e-08	0.5605546536766569	874
1	16897730	18662898	-6.212092963178341e-05	1.7546182993358593e-08	0.6390898777482249	761	-0.0001202598636432	4.4200553163937066e-08	0.5673123146422023	756
1	18662899	20469148	5.310028043653928e-05	2.16797274630607e-08	0.7183710596152839	879	-3.6315937288717526e-05	5.6313785698693495e-08	0.878370916753056	876
1	20469149	21736587	0.0002252773090163	1.3782575887037931e-08	0.0549970405833895	542	0.0001035340424731	2.9019496541211592e-08	0.5433409801679959	538
1	21736588	23086882	7.096892906144017e-05	1.4626121970886391e-08	0.5573257382745771	621	-6.484047328828519e-07	4.0014800489758355e-08	0.9974137223351236	618
1	23086883	23920589	-2.131979214645054e-05	5.578313770487904e-09	0.7752986758882293	278	7.419187216626214e-05	1.2374807615726728e-08	0.5048101287407438	277
1	23920590	25516844	3.0152639598668704e-05	1.4177896570483256e-08	0.8000885568453465	646	1.1411589512012098e-05	3.6123258918858113e-08	0.952122455926967	645
1	25516845	27401866	2.530420400035091e-05	1.1269418735340022e-08	0.8115982514277663	573	-0.0002296348867597	2.4869444650239627e-08	0.1453523537121313	570
1	27401867	30161880	0.0001071219453194	1.5725174128297823e-08	0.3929711354265981	711	-0.0001028795467924	3.058755450900969e-08	0.5563692929880745	706
1	30161881	32438684	0.00053915049478	2.7911032345184708e-08	0.0012502046189443	1096	-0.0002660185612246	5.390730762369573e-08	0.2519005160121855	1091
1	32438685	34799757	-7.846562327219227e-06	1.6165866971173233e-08	0.950791017204394	801	-0.0002080246338536	3.669114050462098e-08	0.277474196048831	797
1	34799758	37549182	0.0002835744114547	2.0237471820363432e-08	0.0462204477047698	716	0.0001022186442906	3.994693202827538e-08	0.6090481775306243	714
1	37549183	38731846	-3.815402109873935e-06	1.1956628589384961e-08	0.972165213882639	492	-6.929318578911879e-05	2.4655423105288082e-08	0.6589955529624116	490
1	38731847	40200566	0.0003286155431088	1.8737025860857113e-08	0.016363775340561	507	-4.7608731023250216e-05	3.035661161473642e-08	0.7846611498877003	506
1	40200567	41975326	0.0001100411723257	1.9461419859049472e-08	0.4302277995026309	669	0.000152950004009	3.3073655425373046e-08	0.4003344842474192	665
1	41975327	43758456	7.436884185332556e-06	1.2665315887097228e-08	0.9473125624458002	653	-5.878606605778061e-06	2.9220368251195933e-08	0.9725661967443694	652
